Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15258787,261000,15319615,11.71,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,12367236,1693000,2727724,7.55,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1526912,190300,2015205,8.54,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1407629,1067000,461669,4.3,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1068120,1430000,595818,110.14,7.7,,○ 우량주(#5)
005380,현대차,자동차,820055,400500,383747,13.05,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,703622,1520000,29197,41.99,19.44,,○ 우량주(#7)
028260,삼성물산,복합기업,633264,390500,300801,23.64,6.02,,△ 중대형(#8)
032830,삼성생명,생명보험,619000,309500,306643,21.56,4.96,,△ 중대형(#9)
105560,KB금융,은행,607225,171200,1949667,10.82,9.98,,△ 중대형(#10)
