Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
088980,맥쿼리인프라,운송인프라,9940,9.93,-7.53,,,47605,◎ 극과매도(RSI 10)
042700,한미반도체,반도체와반도체장비,219500,11.86,-19.6,117.57,34.76,209210,◎ 극과매도(RSI 12)
489790,한화비전,통신장비,49650,12.99,-11.18,73.66,5.4,25067,◎ 극과매도(RSI 13)
051600,한전KPS,전기유틸리티,45150,14.15,-0.22,14.27,9.29,20318,◎ 극과매도(RSI 14)
031210,서울보증보험,손해보험,40600,16.28,-0.49,9.25,5.18,28348,◎ 극과매도(RSI 16)
017670,SK텔레콤,무선통신서비스,87400,17.23,-4.38,51.23,3.33,187727,◎ 극과매도(RSI 17)
035420,NAVER,양방향미디어와서비스,199900,17.7,0.1,17.35,7.37,313618,◎ 극과매도(RSI 18)
020150,롯데에너지머티리얼즈,전자장비와기기,39200,17.72,-9.26,-18.79,-10.54,20527,◎ 극과매도(RSI 18)
034220,LG디스플레이,디스플레이패널,10980,19.07,-9.26,-67.36,3.44,54900,◎ 극과매도(RSI 19)
011790,SKC,화학,98900,20.26,-9.27,-5.27,-73.28,49053,○ 과매도(RSI 20)
