Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.34,36.85,6050,1089,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.74,31.51,2625,1314,0.054,◎ 매우 저평가
016880,웅진,출판,3.32,96.89,1970,1575,0.092,◎ 매우 저평가
136490,선진,식품,1.9,23.5,9020,2145,0.101,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.12,23.71,41500,1607,0.103,◎ 매우 저평가
002380,KCC,건축자재,2.44,23.51,470000,40387,0.122,◎ 매우 저평가
001450,현대해상,손해보험,3.06,20.6,36000,30689,0.187,○ 저평가
015760,한국전력,전기유틸리티,2.81,19.4,38150,244909,0.191,○ 저평가
096760,JW홀딩스,제약,3.92,23.57,3660,2706,0.212,○ 저평가
023590,다우기술,증권,2.59,15.95,35450,15345,0.245,○ 저평가
