Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14469540,247500,22788552,20.0,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,10957385,1500000,4223067,14.49,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1393719,173700,3090997,14.04,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1324517,1004000,628410,8.53,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1036002,1387000,739938,131.01,7.7,,○ 우량주(#5)
005380,현대차,자동차,847697,414000,552901,12.76,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,714732,1544000,28670,50.16,19.44,,○ 우량주(#7)
012450,한화에어로스페이스,우주항공과국방,606901,1177000,407773,36.97,19.14,,△ 중대형(#8)
105560,KB금융,은행,590200,166400,912179,10.52,9.98,,△ 중대형(#9)
028260,삼성물산,복합기업,562722,347000,276885,23.27,6.02,,△ 중대형(#10)
