Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.68,31.51,2535,1269,0.051,◎ 매우 저평가
016880,웅진,출판,3.63,96.89,2155,1722,0.087,◎ 매우 저평가
002380,KCC,건축자재,2.27,23.51,437500,37594,0.11,◎ 매우 저평가
136490,선진,식품,2.76,23.5,9930,2361,0.132,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.27,19.4,30850,198046,0.164,○ 저평가
096760,JW홀딩스,제약,4.26,23.57,3975,2939,0.227,○ 저평가
023590,다우기술,증권,2.76,15.95,37700,16319,0.244,○ 저평가
071320,지역난방공사,복합유틸리티,2.39,14.84,73000,8452,0.256,○ 저평가
003480,한진중공업홀딩스,가스유틸리티,2.11,14.18,4705,1389,0.264,○ 저평가
003650,미창석유,화학,3.0,15.44,142500,2479,0.264,○ 저평가
