섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,17.81,14.27,,28515295
은행,11,10.91,7.87,,2090871
조선,14,-1.04,22.5,,1590711
제약,62,4.0,4.38,,1584323
자동차,10,7.86,9.16,19.2,1500922
전기제품,11,3.09,-9.42,,1327220
전자장비와기기,20,34.64,0.59,,1315496
우주항공과국방,8,38.46,18.71,,1214909
전기장비,14,42.23,16.91,,1168864
복합기업,17,40.59,2.65,,1131447
석유와가스,12,8.35,-0.77,,916974
증권,33,8.05,8.4,,871898
자동차부품,73,-67.34,5.55,9.52,834655
화학,72,-47.53,5.75,9.41,763971
기계,22,-0.25,3.62,18.88,709238
생명보험,4,16.7,5.94,,642414
손해보험,11,10.7,12.67,,528057
양방향미디어와서비스,3,21.57,5.08,,493613
IT서비스,14,35.28,7.52,,488953
건설,39,8.96,7.26,,439390
화장품,19,17.92,15.5,,399430
철강,36,5.64,0.72,13.43,370790
식품,52,2.85,1.25,,355264
전자제품,4,-50.08,4.36,,341502
비철금속,26,8.08,3.51,,303337
무선통신서비스,3,20.03,4.67,,273278
전기유틸리티,4,55.97,11.65,,257782
해운사,8,14.68,7.94,,251686
게임엔터테인먼트,5,9.8,11.92,,211013
항공사,8,6.43,-83.43,,195721
에너지장비및서비스,10,16.73,2.08,,183706
담배,1,17.28,11.77,,182187
항공화물운송과물류,10,-1.42,7.48,,179207
백화점과일반상점,12,25.85,1.63,,178005
"섬유,의류,신발,호화품",45,17.06,6.0,11.07,169210
기타,25,,,,133538
다각화된통신서비스,1,8.59,10.22,,132563
무역회사와판매업체,7,25.83,84.01,,130925
부동산,28,29.98,1.36,16.81,98423
가정용기기와용품,5,7.3,13.41,,90935
방송과엔터테인먼트,8,55.16,-2.5,,90747
건축자재,31,2.48,3.84,,85182
가스유틸리티,11,5.94,7.33,,80091
"호텔,레스토랑,레저",9,9.44,3.32,,73052
운송인프라,3,5.9,10.46,,60135
카드,1,8.77,7.45,,54164
디스플레이패널,2,-58.83,3.44,,48505
상업서비스와공급품,9,13.67,9.04,,45408
통신장비,3,31.83,8.28,,33224
광고,3,7.64,10.32,,30222
도로와철도운송,5,-4.73,-7.55,,25852
음료,9,1.36,3.71,,25011
포장재,16,-29.47,2.12,,24628
건강관리장비와용품,5,13.51,-4.92,,17214
가구,7,33.62,4.35,,16277
핸드셋,3,-12.21,4.47,,13432
복합유틸리티,1,2.39,14.84,,8452
디스플레이장비및부품,3,12.61,7.49,,7058
종이와목재,10,6.72,-4.64,,6850
사무용전자제품,1,15.56,1.88,,3979
창업투자,1,14.86,5.99,,3202
건축제품,4,0.35,-1.76,,2406
출판,2,3.63,96.89,,2354
교육서비스,4,-2.57,-12.33,11.74,2282
건강관리업체및서비스,1,4.95,11.08,,2113
식품과기본식료품소매,2,3.2,11.89,,1710
전문소매,1,-16.63,-0.26,,1504
레저용장비와제품,2,3.93,6.36,,1401
가정용품,2,,,,1223
소프트웨어,1,9.48,5.56,,1185
판매업체,2,-52.83,-9.09,,1076
생물공학,2,,,,1048
컴퓨터와주변기기,2,,,,608
문구류,1,,,,280
