Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
307950,현대오토에버,IT서비스,494500,9.51,-6.87,75.0,10.27,135612,◎ 극과매도(RSI 10)
017670,SK텔레콤,무선통신서비스,86200,9.83,-4.43,50.53,3.33,185149,◎ 극과매도(RSI 10)
020150,롯데에너지머티리얼즈,전자장비와기기,37600,14.49,-16.54,-18.02,-10.54,19689,◎ 극과매도(RSI 14)
034220,LG디스플레이,디스플레이패널,10880,16.63,-9.33,-66.75,3.44,54400,◎ 극과매도(RSI 17)
489790,한화비전,통신장비,49400,17.11,-9.69,73.29,5.4,24941,◎ 극과매도(RSI 17)
018880,한온시스템,자동차부품,3770,17.43,-2.71,-29.0,-6.0,38690,◎ 극과매도(RSI 17)
035420,NAVER,양방향미디어와서비스,196600,17.94,-3.63,17.06,7.37,308441,◎ 극과매도(RSI 18)
204320,HL만도,자동차부품,49700,18.0,0.4,19.46,3.82,23338,◎ 극과매도(RSI 18)
011070,LG이노텍,전자장비와기기,855000,18.62,-6.56,41.74,6.14,202354,◎ 극과매도(RSI 19)
011790,SKC,화학,101000,19.21,-8.51,-5.38,-73.28,50094,◎ 극과매도(RSI 19)
