섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.79,14.27,,39355136
은행,11,11.29,7.87,,2125952
조선,14,2.12,22.5,,1814259
자동차,10,8.97,9.16,14.37,1805792
전자장비와기기,20,35.05,0.59,,1722250
제약,62,2.4,4.53,,1464171
복합기업,17,47.03,2.65,,1361261
우주항공과국방,8,48.32,18.71,,1307179
전기장비,14,59.14,16.91,,1301305
전기제품,11,7.42,-9.42,,1297128
증권,33,8.89,8.4,,1052028
석유와가스,12,9.11,-0.77,,867410
생명보험,4,17.15,5.94,,864273
자동차부품,73,5.34,5.67,,838032
기계,22,16.39,3.12,19.59,775741
화학,72,-54.91,6.3,9.19,773092
손해보험,11,10.21,12.67,,512391
IT서비스,14,33.53,7.52,,469121
양방향미디어와서비스,3,20.13,5.08,,467375
건설,39,14.48,7.26,,436614
화장품,19,11.32,15.5,,369577
철강,36,3.04,0.72,14.88,367810
식품,52,1.97,1.16,,337512
전기유틸리티,4,61.08,11.65,,316372
전자제품,4,-25.53,4.36,,315858
비철금속,26,7.02,3.38,,291140
백화점과일반상점,12,25.8,1.63,,247297
무선통신서비스,3,31.0,4.67,,245876
게임엔터테인먼트,5,10.69,11.92,,228198
해운사,8,8.14,8.06,,223008
항공사,8,7.14,-83.43,,221604
"섬유,의류,신발,호화품",45,15.83,5.37,10.01,183871
담배,1,17.0,11.77,,179177
항공화물운송과물류,10,-3.47,6.89,,174975
에너지장비및서비스,10,-4.61,2.08,,158139
기타,25,,,,150688
다각화된통신서비스,1,8.9,10.22,,137352
무역회사와판매업체,7,12.98,84.01,,127163
방송과엔터테인먼트,8,54.92,-2.5,8.35,108457
부동산,28,32.86,1.34,16.92,96663
가정용기기와용품,5,10.22,11.76,,91659
건축자재,31,2.2,3.84,,88401
"호텔,레스토랑,레저",10,11.46,7.07,,80900
가스유틸리티,11,5.64,7.33,,75180
운송인프라,3,6.05,10.46,,64144
카드,1,9.14,7.45,,56481
디스플레이패널,2,-66.75,3.44,,54910
상업서비스와공급품,9,13.36,9.04,,42518
소프트웨어,2,23.14,10.78,,36142
통신장비,3,40.39,8.28,,31177
광고,3,8.14,10.32,,30144
음료,9,2.39,3.71,,25563
포장재,16,-12.42,2.8,,23761
도로와철도운송,5,-4.3,-7.55,,20688
건강관리장비와용품,5,12.27,-4.92,,17881
가구,7,18.77,4.35,,15042
핸드셋,3,-11.78,4.47,,13508
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.45,14.84,9.03,7897
디스플레이장비및부품,3,13.06,7.49,,7164
종이와목재,10,88.5,-4.28,8.84,6736
사무용전자제품,1,15.77,1.88,,4032
창업투자,1,12.66,5.99,,2729
건축제품,4,-4.08,-11.82,,2336
교육서비스,4,-2.43,-12.33,11.29,2317
출판,2,3.27,96.89,,2190
건강관리업체및서비스,1,4.47,11.08,,1909
식품과기본식료품소매,2,3.07,11.89,,1658
전문소매,1,-16.5,-0.26,,1492
레저용장비와제품,2,4.11,6.36,,1474
가정용품,2,,,,1215
판매업체,2,-19.16,-9.09,,1088
생물공학,2,,,,1028
컴퓨터와주변기기,2,,,,614
문구류,1,,,,249
