Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.36,36.85,6120,1102,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.76,31.51,2660,1331,0.057,◎ 매우 저평가
016880,웅진,출판,3.27,96.89,1942,1552,0.086,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.12,23.71,41600,1611,0.104,◎ 매우 저평가
136490,선진,식품,1.94,23.5,9190,2185,0.106,◎ 매우 저평가
002380,KCC,건축자재,2.52,23.51,485000,41676,0.129,◎ 매우 저평가
001450,현대해상,손해보험,3.12,20.6,36700,31286,0.186,○ 저평가
015760,한국전력,전기유틸리티,2.89,19.4,39150,251329,0.197,○ 저평가
096760,JW홀딩스,제약,4.1,23.57,3825,2828,0.229,○ 저평가
023590,다우기술,증권,2.79,15.95,38150,16514,0.251,○ 저평가
