Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.6,36.85,7210,1298,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.63,31.51,2465,1234,0.057,◎ 매우 저평가
002990,금호건설,건설,1.95,26.79,3850,1435,0.079,◎ 매우 저평가
016880,웅진,출판,3.37,96.89,2000,1599,0.089,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.24,23.71,43850,1698,0.105,◎ 매우 저평가
136490,선진,식품,1.99,23.5,9430,2242,0.111,◎ 매우 저평가
002380,KCC,건축자재,2.62,23.51,504000,43308,0.129,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.78,19.4,37650,241699,0.191,○ 저평가
001450,현대해상,손해보험,3.33,20.6,39250,33460,0.196,○ 저평가
096760,JW홀딩스,제약,4.12,23.57,3850,2846,0.229,○ 저평가
