Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
281820,케이씨텍,반도체와반도체장비,87100,33.38,17.23,2.25,62.5,23.35,35.64,17245,◎ 강세
051600,한전KPS,전기유틸리티,63900,31.35,14.11,2.54,67.3,20.19,33.89,28755,◎ 강세
042700,한미반도체,반도체와반도체장비,361000,27.56,-9.86,4.66,54.8,193.36,32.22,344077,◎ 강세
052690,한전기술,전기유틸리티,151300,18.85,-3.01,1.72,55.2,172.32,20.57,57827,◎ 강세
204320,HL만도,자동차부품,65000,17.75,2.69,1.69,56.5,25.45,19.44,30522,◎ 강세
383220,F&F,"섬유,의류,신발,호화품",85900,16.55,4.63,1.62,64.0,6.41,18.17,32906,◎ 강세
029780,삼성카드,카드,51500,11.96,5.42,4.77,65.5,9.66,16.72,59667,◎ 강세
007810,코리아써키트,전자장비와기기,134400,14.19,29.36,1.54,67.1,51.65,15.73,32233,◎ 강세
023530,롯데쇼핑,백화점과일반상점,195600,13.06,22.17,1.68,68.5,33.83,14.74,55333,◎ 강세
353200,대덕전자,전자장비와기기,165200,8.4,15.61,2.45,56.5,86.13,10.85,81637,○ 양호
