Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
001440,대한전선,전기장비,37850,16.57,-5.26,144.47,5.48,74183,◎ 극과매도(RSI 17)
229640,LS에코에너지,전기장비,61600,18.83,2.33,43.56,21.43,18865,◎ 극과매도(RSI 19)
006800,미래에셋증권,증권,52300,19.26,-7.27,16.41,12.36,292653,◎ 극과매도(RSI 19)
103590,일진전기,전기장비,81800,19.96,0.74,33.36,19.08,39007,◎ 극과매도(RSI 20)
001430,세아베스틸지주,철강,47800,21.43,-2.35,23.86,2.89,17142,○ 과매도(RSI 21)
112610,씨에스윈드,에너지장비및서비스,41500,21.73,-5.36,-101.97,3.02,17501,○ 과매도(RSI 22)
005490,POSCO홀딩스,철강,377000,25.64,-3.33,37.09,1.18,298741,△ 약과매도(RSI 26)
00680K,미래에셋증권2우B,기타,14220,25.72,-4.82,,,19410,△ 약과매도(RSI 26)
004800,효성,복합기업,181200,25.77,1.23,8.97,14.35,30334,△ 약과매도(RSI 26)
097950,CJ제일제당,식품,198700,27.0,-0.65,-6.47,-7.67,29913,△ 약과매도(RSI 27)
