섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,23.64,11.03,,36310832
복합기업,18,54.6,5.35,,3238352
자동차,10,10.08,9.16,12.6,2057504
은행,11,12.08,7.87,,2057147
조선,14,-8.53,22.5,,1984313
전자장비와기기,21,39.16,2.71,,1823877
전기제품,12,2.21,-11.78,,1549932
전기장비,14,56.39,16.91,,1434451
제약,62,3.31,4.44,,1397801
우주항공과국방,8,49.29,18.71,,1284747
증권,33,9.48,8.33,,1085991
자동차부품,73,4.72,5.67,10.46,956893
화학,72,-70.11,5.75,9.19,943896
생명보험,4,19.92,5.94,,864501
기계,22,18.11,3.11,17.53,859033
석유와가스,11,8.77,-0.77,,818002
IT서비스,14,41.5,7.52,,593223
양방향미디어와서비스,3,23.33,5.08,,572039
손해보험,11,10.05,12.67,,509409
건설,39,15.48,4.02,,497736
철강,36,3.64,0.21,13.46,432576
전자제품,4,-22.45,4.36,,382203
화장품,19,11.35,15.5,,359097
식품,52,2.11,1.16,,345050
전기유틸리티,4,79.53,11.65,,332685
비철금속,26,6.72,3.38,8.47,316474
무선통신서비스,3,36.63,4.67,,289378
백화점과일반상점,12,27.99,1.63,,258262
게임엔터테인먼트,5,11.01,11.92,,234677
해운사,8,8.69,8.06,,231623
항공사,8,6.38,-83.43,,204357
"섬유,의류,신발,호화품",47,17.85,5.19,11.11,202663
담배,1,18.49,11.77,,194956
항공화물운송과물류,10,-3.46,6.89,,185553
기타,25,,,,163984
에너지장비및서비스,9,-0.96,6.17,,141732
다각화된통신서비스,1,8.95,10.22,,138108
무역회사와판매업체,6,9.08,97.89,,133074
방송과엔터테인먼트,8,50.65,-12.33,,114261
부동산,28,27.45,1.4,16.7,96926
건축자재,31,-20.3,3.53,,91275
"호텔,레스토랑,레저",10,11.94,5.36,,90440
가정용기기와용품,5,7.22,13.41,,87948
가스유틸리티,11,5.84,7.33,,78356
디스플레이패널,2,-85.28,3.44,,70010
운송인프라,3,6.18,10.46,,67822
카드,1,9.66,7.45,,59667
상업서비스와공급품,9,14.16,9.04,,49694
통신장비,3,60.72,8.28,,46004
소프트웨어,2,23.65,10.78,,36268
광고,3,8.92,10.32,,33158
음료,9,3.02,3.71,,26881
포장재,16,-32.34,2.12,,25934
도로와철도운송,5,-4.58,-7.55,,21254
건강관리장비와용품,5,12.8,-4.92,,19375
핸드셋,3,-15.74,4.47,,16430
가구,7,19.56,4.35,,15107
인터넷과카탈로그소매,1,9.16,4.36,,9768
디스플레이장비및부품,3,16.83,7.49,,8709
복합유틸리티,1,2.57,14.84,8.61,8279
종이와목재,10,62.69,-4.97,,7180
사무용전자제품,1,16.44,1.88,,4202
창업투자,1,12.7,5.99,,2737
교육서비스,4,-2.94,-12.33,10.4,2584
건축제품,4,-4.4,-11.82,,2385
출판,2,3.37,96.89,,2273
전문소매,2,-17.62,-0.26,,1910
식품과기본식료품소매,2,3.06,11.89,,1727
건강관리업체및서비스,1,4.0,11.08,,1706
레저용장비와제품,2,4.63,6.36,,1576
생물공학,2,-1.72,-81.98,,1417
가정용품,2,,,,1253
판매업체,2,,,,1050
컴퓨터와주변기기,2,,,,778
문구류,1,,,,251
