카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,118,1.87,54.2,43.02,-26.89,10.38,5일
[E] 과매도,190,0.66,55.3,26.59,-18.97,6.73,5일
[F] 단기관심,149,0.83,50.3,43.02,-26.89,10.75,5일
