섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,34.07,11.03,,31457857
복합기업,18,45.89,5.35,,2813588
자동차,10,19.6,9.16,11.98,2174666
조선,14,-54.89,20.72,,2024279
은행,11,11.81,7.87,,1978062
전기장비,14,75.86,16.91,,1660656
전기제품,12,5.31,-11.78,,1646399
제약,62,-18.78,3.48,,1495614
우주항공과국방,8,44.78,15.63,,1409569
전자장비와기기,21,59.68,2.71,,1230385
증권,33,10.38,8.33,,1210154
화학,72,32.48,5.74,8.51,1012605
기계,22,35.5,3.04,16.12,1005628
자동차부품,73,4.51,5.66,,926119
석유와가스,11,25.14,-0.77,,805847
생명보험,4,16.87,5.94,,708754
철강,36,-39.58,-0.18,9.83,533552
건설,39,9.92,4.24,,531027
IT서비스,14,40.42,9.05,,530168
양방향미디어와서비스,3,24.89,5.08,,503194
손해보험,11,8.35,12.67,,474489
화장품,19,23.46,15.5,,380266
식품,52,9.71,1.22,27.97,375796
비철금속,26,19.53,3.38,8.5,375238
전자제품,4,24.29,4.36,,368710
전기유틸리티,4,52.9,11.65,,326896
무선통신서비스,3,32.89,4.67,,283474
게임엔터테인먼트,5,13.9,11.92,,250516
해운사,8,10.65,8.06,,238852
백화점과일반상점,12,72.59,1.63,,225438
"섬유,의류,신발,호화품",47,15.8,5.12,11.48,216599
항공화물운송과물류,10,-12.42,7.48,,204189
항공사,8,1.21,-83.43,,196787
기타,25,,,,185850
담배,1,19.86,11.77,,184990
에너지장비및서비스,9,24.77,6.17,,169256
무역회사와판매업체,6,9.6,97.89,,158293
다각화된통신서비스,1,8.3,10.22,,143652
방송과엔터테인먼트,8,17.57,-12.33,7.81,119910
부동산,30,60.58,1.27,14.98,103168
건축자재,31,-5.6,3.53,,100337
"호텔,레스토랑,레저",10,14.43,5.36,,93345
가정용기기와용품,5,11.45,11.76,,91821
가스유틸리티,11,8.37,7.33,,84459
운송인프라,3,5.5,10.46,,67615
디스플레이패널,2,29.56,3.44,,67460
카드,1,8.75,7.45,,56539
통신장비,3,51.46,8.28,,47538
상업서비스와공급품,9,6.86,9.04,,42620
소프트웨어,2,31.58,10.78,,37848
광고,3,9.02,10.32,,31830
포장재,16,25.68,2.12,,28798
음료,9,-5.62,3.71,,28439
도로와철도운송,5,-4.99,-7.55,,23569
건강관리장비와용품,5,18.04,-4.92,,20917
핸드셋,3,1826.13,4.47,,18557
가구,7,7.96,4.35,,16166
인터넷과카탈로그소매,1,10.28,4.36,,10176
디스플레이장비및부품,3,11.04,7.49,,9838
종이와목재,10,5.09,-4.64,,8755
복합유틸리티,1,2.53,14.84,8.32,8568
사무용전자제품,1,22.65,1.88,,4382
창업투자,1,23.77,5.99,,3327
교육서비스,4,-4.08,-10.34,9.03,3101
건축제품,4,1.56,-1.76,,2688
출판,2,1.58,96.89,,2665
전문소매,2,-69.61,-0.26,,2029
건강관리업체및서비스,1,6.79,11.08,,1983
식품과기본식료품소매,2,3.21,11.89,,1916
레저용장비와제품,2,6.9,6.36,,1690
생물공학,2,-1.69,-81.98,,1528
가정용품,2,,,,1479
판매업체,2,-12.17,-9.09,,1283
컴퓨터와주변기기,2,,,,793
문구류,1,,,,288
