Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16428043,281000,33555214,42.81,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13113724,1840000,6481608,31.21,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1485189,185100,5119376,28.2,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1442305,1093000,1003190,16.44,37.82,,○ 우량주(#4)
005380,현대차,자동차,1357544,663000,2218142,18.77,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,770092,1031000,1141621,113.31,7.7,,○ 우량주(#6)
034020,두산에너빌리티,기계,718069,112100,4669776,849.24,1.11,,○ 우량주(#7)
028260,삼성물산,복합기업,647859,399500,489373,28.2,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,645512,615000,411579,39.17,18.82,,△ 중대형(#9)
207940,삼성바이오로직스,제약,641593,1386000,54234,52.16,19.44,,△ 중대형(#10)
