Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.33,36.85,5980,1076,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.56,31.51,2355,1179,0.058,◎ 매우 저평가
016880,웅진,출판,3.04,96.89,1804,1442,0.087,◎ 매우 저평가
002990,금호건설,건설,2.46,26.79,4845,1805,0.101,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.06,23.71,40500,1568,0.103,◎ 매우 저평가
136490,선진,식품,1.87,23.5,8850,2104,0.105,◎ 매우 저평가
002380,KCC,건축자재,2.49,23.51,479000,41160,0.13,◎ 매우 저평가
001450,현대해상,손해보험,2.99,20.6,35150,29965,0.196,○ 저평가
015760,한국전력,전기유틸리티,2.71,19.4,36750,235922,0.199,○ 저평가
096760,JW홀딩스,제약,3.96,23.57,3700,2735,0.246,○ 저평가
