섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,21.16,14.27,,42830638
은행,11,10.8,7.87,,1926206
전자장비와기기,20,39.42,0.59,,1873778
조선,14,-0.55,22.5,,1804178
자동차,10,8.75,9.16,14.07,1728601
복합기업,17,50.48,2.65,,1433092
제약,62,1.76,4.53,,1424507
전기제품,11,8.83,-9.42,,1365373
전기장비,14,59.0,17.0,,1349558
우주항공과국방,8,46.45,18.71,,1264908
증권,33,8.39,8.33,8.79,945842
생명보험,4,17.89,5.94,,944721
석유와가스,12,8.9,-0.77,,880139
화학,72,-64.37,6.43,10.02,824397
자동차부품,74,5.06,5.52,18.87,812430
기계,22,17.07,3.12,19.46,811544
IT서비스,14,34.65,7.52,,486451
손해보험,11,9.24,12.67,,482801
양방향미디어와서비스,3,19.49,5.08,,464525
건설,39,13.17,6.92,,420099
철강,36,1.98,0.21,19.9,378697
전자제품,4,-22.6,4.36,,346907
화장품,19,9.42,15.5,,336333
식품,52,2.17,1.16,,322775
전기유틸리티,4,62.21,11.65,,301864
비철금속,26,6.74,3.38,8.85,288252
무선통신서비스,3,32.33,4.67,,255337
백화점과일반상점,12,25.54,1.63,,244059
해운사,8,14.38,7.94,,218342
게임엔터테인먼트,5,10.21,11.92,,216905
항공사,8,6.03,-83.43,,203710
담배,1,16.6,11.77,,175024
항공화물운송과물류,10,-3.26,6.89,,168457
"섬유,의류,신발,호화품",45,15.08,5.37,12.23,165778
에너지장비및서비스,10,-5.87,2.08,,163392
기타,25,,,,156069
다각화된통신서비스,1,8.44,10.22,,130295
무역회사와판매업체,7,12.75,84.01,,126430
방송과엔터테인먼트,8,44.61,-12.33,,99728
부동산,28,30.52,1.34,17.66,94274
건축자재,31,-19.43,3.53,,85652
가정용기기와용품,5,6.79,13.41,,84221
"호텔,레스토랑,레저",10,9.81,5.36,,79106
가스유틸리티,11,5.4,7.33,,71527
운송인프라,3,5.61,10.46,,66082
디스플레이패널,2,-74.72,3.44,,61410
카드,1,8.59,7.45,,53063
상업서비스와공급품,9,13.29,9.04,,42432
소프트웨어,2,23.2,10.78,,36154
통신장비,3,44.52,8.28,,34166
광고,3,7.95,10.32,,29377
음료,9,7.76,3.76,,25398
포장재,16,-13.46,2.8,,23366
도로와철도운송,5,-5.12,-7.55,,19863
건강관리장비와용품,5,12.44,-4.92,,17165
가구,7,18.08,4.35,,14269
핸드셋,3,-11.72,4.47,,13874
인터넷과카탈로그소매,1,9.18,4.36,,9792
복합유틸리티,1,2.41,14.84,9.19,7758
디스플레이장비및부품,3,14.07,7.49,,7365
종이와목재,10,60.48,-4.97,9.39,6639
사무용전자제품,1,15.09,1.88,,3857
창업투자,1,12.07,5.99,,2602
교육서비스,4,,,12.68,2216
건축제품,4,-3.79,-11.82,,2157
출판,2,3.04,96.89,,2048
건강관리업체및서비스,1,3.77,11.08,,1607
식품과기본식료품소매,2,2.93,11.89,,1585
전문소매,1,-16.42,-0.26,,1485
레저용장비와제품,2,4.17,6.36,,1418
가정용품,2,,,,1200
판매업체,2,,,,1028
생물공학,2,,,,1007
컴퓨터와주변기기,2,,,,633
문구류,1,,,,229
