섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,24.05,14.27,,46371395
전자장비와기기,20,42.42,0.59,,2135628
은행,11,11.07,7.87,,1987057
조선,14,-2.22,22.5,,1939476
자동차,10,9.41,9.16,13.71,1939179
복합기업,17,53.01,2.65,,1538175
전기장비,14,63.38,17.0,,1489186
전기제품,11,11.46,-9.42,,1460922
제약,62,3.99,4.53,,1371792
우주항공과국방,8,48.92,18.71,,1314120
증권,33,8.83,8.33,,1009584
생명보험,4,19.75,5.94,,989048
석유와가스,12,9.0,-0.77,,897513
자동차부품,74,5.36,5.67,18.48,890945
화학,72,-67.14,5.83,9.32,881208
기계,22,18.54,3.11,18.81,850244
IT서비스,14,38.19,7.52,,542246
손해보험,11,9.82,12.67,,512952
양방향미디어와서비스,3,20.88,5.08,,512344
건설,39,14.68,4.02,,465435
철강,36,2.47,-0.0,14.03,397000
전자제품,4,-21.71,4.36,,384885
화장품,19,10.83,15.5,,337216
식품,52,1.96,1.16,,324502
전기유틸리티,4,65.26,11.65,,313379
비철금속,26,6.73,3.38,8.73,300706
무선통신서비스,3,33.46,4.67,,264234
백화점과일반상점,12,26.49,1.63,,249755
해운사,8,14.4,7.94,,224889
게임엔터테인먼트,5,10.49,11.92,,223974
항공사,8,5.98,-83.43,,202209
담배,1,17.22,11.77,,181564
항공화물운송과물류,10,-3.28,6.89,,180508
에너지장비및서비스,10,-6.04,2.08,,180131
"섬유,의류,신발,호화품",45,16.38,4.98,11.77,169398
기타,25,,,,155520
무역회사와판매업체,7,13.24,84.01,,132346
다각화된통신서비스,1,8.54,10.22,,131807
방송과엔터테인먼트,8,48.0,-12.33,,108535
부동산,28,31.69,1.34,17.31,96814
건축자재,31,-20.77,3.53,,90432
가정용기기와용품,5,6.88,13.41,,84486
"호텔,레스토랑,레저",10,10.68,5.36,,83682
가스유틸리티,11,5.53,7.33,,73087
운송인프라,3,5.8,10.46,,65844
디스플레이패널,2,-79.33,3.44,,65160
카드,1,8.81,7.45,,54396
상업서비스와공급품,9,13.3,9.04,,41629
통신장비,3,53.22,8.28,,40563
소프트웨어,2,23.3,10.78,,36055
광고,3,8.09,10.32,,30061
음료,9,2.71,3.71,,25376
포장재,16,-31.78,2.55,,24218
도로와철도운송,5,-4.63,-7.55,,20063
건강관리장비와용품,5,12.7,-4.92,,17950
핸드셋,3,-13.44,4.47,,14659
가구,7,18.53,4.35,,14557
인터넷과카탈로그소매,1,8.94,4.36,,9540
복합유틸리티,1,2.45,14.84,9.05,7874
디스플레이장비및부품,3,15.11,7.49,,7860
종이와목재,10,85.93,-4.28,8.68,6814
사무용전자제품,1,15.75,1.88,,4027
창업투자,1,11.28,5.99,,2431
교육서비스,4,-2.5,-12.33,11.42,2340
건축제품,4,-4.01,-11.82,,2226
출판,2,3.34,96.89,,2214
식품과기본식료품소매,2,2.9,11.89,,1630
건강관리업체및서비스,1,3.79,11.08,,1618
전문소매,1,-17.21,-0.26,,1556
레저용장비와제품,2,4.21,6.36,,1473
가정용품,2,,,,1246
생물공학,2,,,,1093
판매업체,2,,,,1043
컴퓨터와주변기기,2,,,,663
문구류,1,,,,243
