Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
007810,코리아써키트,전자장비와기기,64800,9.08,-28.08,24.9,11.54,15541,◎ 극과매도(RSI 9)
307950,현대오토에버,IT서비스,441500,9.34,-15.74,66.96,10.27,121077,◎ 극과매도(RSI 9)
011070,LG이노텍,전자장비와기기,763000,10.12,-15.88,37.25,6.14,180580,◎ 극과매도(RSI 10)
017670,SK텔레콤,무선통신서비스,84000,11.11,-5.19,49.24,3.33,180424,◎ 극과매도(RSI 11)
489790,한화비전,통신장비,42900,13.96,-22.0,63.65,5.4,21660,◎ 극과매도(RSI 14)
020150,롯데에너지머티리얼즈,전자장비와기기,32050,15.05,-26.66,-15.36,-10.54,16783,◎ 극과매도(RSI 15)
088350,한화생명,생명보험,4335,16.41,-1.03,5.09,6.51,37651,◎ 극과매도(RSI 16)
035420,NAVER,양방향미디어와서비스,192700,17.91,-2.38,16.73,7.37,302323,◎ 극과매도(RSI 18)
279570,케이뱅크,은행,5320,18.03,-5.0,15.51,5.4,21583,◎ 극과매도(RSI 18)
007340,DN오토모티브,자동차부품,35400,18.26,-7.09,7.09,15.02,20713,◎ 극과매도(RSI 18)
