Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,16223423,277500,33525758,22.43,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,14795701,2076000,6975631,20.05,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1675872,1270000,1398783,10.78,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1499632,186900,4237237,15.11,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1104720,1479000,1209425,139.7,7.7,,○ 우량주(#5)
005380,현대차,자동차,947005,462500,917535,14.26,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,692000,346000,554995,24.1,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,640562,395000,606631,26.49,6.02,,△ 중대형(#8)
207940,삼성바이오로직스,제약,630946,1363000,48968,44.28,19.44,,△ 중대형(#9)
000270,기아,자동차,612168,156800,1779324,8.82,12.92,,△ 중대형(#10)
