Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
016360,삼성증권,증권,137200,26.22,31.42,1.53,69.9,12.16,27.75,122520,◎ 강세
012330,현대모비스,자동차부품,509000,15.95,25.06,5.44,69.7,12.83,21.38,461829,◎ 강세
007070,GS리테일,백화점과일반상점,25800,9.55,19.72,6.17,63.3,49.71,15.72,21571,◎ 강세
011210,현대위아,자동차부품,90500,4.99,13.41,8.83,59.6,24.86,13.82,24612,◎ 강세
086280,현대글로비스,항공화물운송과물류,251000,5.24,13.83,6.26,62.1,10.86,11.5,188250,○ 양호
064400,LG씨엔에스,IT서비스,71000,6.45,15.64,4.0,62.4,15.61,10.45,68789,○ 양호
003490,대한항공,항공사,27050,7.77,8.42,2.07,65.5,12.81,9.84,99604,○ 양호
000270,기아,자동차,164500,4.84,3.33,3.28,59.4,8.61,8.12,642229,○ 양호
005385,현대차우,자동차,269000,3.66,8.03,3.44,60.3,7.61,7.1,62787,△ 보통
282330,BGF리테일,백화점과일반상점,138600,4.21,3.74,2.66,51.7,12.27,6.87,23955,△ 보통
