카테고리,거래수,평균수익률(%),승률(%),최대수익(%),최대손실(%),표준편차,보유기간
[D] 모멘텀,120,2.7,60.8,56.72,-29.99,10.61,5일
[E] 과매도,152,2.7,63.8,27.24,-18.43,7.1,5일
[F] 단기관심,137,3.13,56.9,56.72,-25.14,11.44,5일
