섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,36.2,11.03,,29681237
복합기업,18,50.44,5.35,,2909652
조선,14,-79.13,20.72,,2209856
은행,11,12.69,7.87,,2106991
자동차,10,20.0,9.16,11.62,2082342
전기장비,14,91.31,16.91,,1989749
전기제품,12,8.91,-11.78,,1893669
제약,62,-19.13,2.23,,1587031
우주항공과국방,8,47.62,15.63,,1501187
증권,33,12.01,8.33,,1361037
화학,72,34.81,5.74,7.6,1154271
기계,22,41.53,3.53,14.31,1132515
전자장비와기기,21,57.25,2.71,,1122109
자동차부품,73,4.17,5.74,,885423
석유와가스,11,26.17,-0.77,,851085
생명보험,4,16.65,5.94,,666182
건설,39,11.85,4.24,,613118
철강,36,-39.11,-0.3,9.28,588646
양방향미디어와서비스,3,27.01,5.08,,542583
IT서비스,14,42.82,9.05,,529094
손해보험,11,7.86,12.67,,441420
비철금속,26,21.15,3.84,8.23,408581
화장품,19,25.06,15.5,,405492
전기유틸리티,4,63.35,11.65,,381795
식품,52,9.73,1.22,,381765
무선통신서비스,3,30.82,4.67,,266243
전자제품,4,20.0,4.36,,263743
게임엔터테인먼트,5,13.84,11.92,,250413
해운사,8,16.18,7.94,,245571
항공화물운송과물류,10,-12.69,7.48,,223510
"섬유,의류,신발,호화품",47,17.14,5.03,11.11,222788
백화점과일반상점,12,65.1,1.63,,216431
담배,1,20.17,11.77,,207565
항공사,8,0.95,-83.43,,204619
기타,25,,,,203230
에너지장비및서비스,9,26.71,6.17,,185925
무역회사와판매업체,6,10.46,97.89,,171308
다각화된통신서비스,1,8.63,10.22,,149449
방송과엔터테인먼트,8,18.45,-12.33,7.32,126320
부동산,30,65.78,0.11,13.57,112306
건축자재,31,-3.01,3.36,,111918
"호텔,레스토랑,레저",10,15.41,5.36,,98000
가정용기기와용품,5,11.56,11.76,,89445
가스유틸리티,11,8.69,7.33,,87715
운송인프라,3,5.09,10.46,,68413
디스플레이패널,2,27.22,3.44,,62160
카드,1,9.13,7.45,,58972
통신장비,3,55.44,8.28,,51153
상업서비스와공급품,9,7.18,9.04,,44200
소프트웨어,2,32.95,10.78,,38016
광고,3,9.29,10.32,,31592
포장재,16,27.92,2.12,,31026
음료,9,-5.82,3.71,,29393
도로와철도운송,5,-4.21,-7.55,,22693
건강관리장비와용품,5,18.43,-4.92,,21075
핸드셋,3,2146.64,4.47,,20827
가구,7,9.8,4.35,,18351
디스플레이장비및부품,3,12.28,7.49,,10930
인터넷과카탈로그소매,1,10.39,4.36,,10284
종이와목재,10,5.69,-4.64,,9347
복합유틸리티,1,2.58,14.84,8.15,8742
사무용전자제품,1,24.84,1.88,,4804
창업투자,1,26.65,5.99,,3730
교육서비스,4,-1.8,-3.13,7.37,3653
출판,2,1.89,96.89,,3098
건축제품,4,1.38,-1.76,,2977
건강관리업체및서비스,1,7.45,11.08,,2175
전문소매,2,-71.75,-0.26,,2059
식품과기본식료품소매,2,3.43,11.89,,2045
생물공학,2,-1.82,-81.98,,1619
레저용장비와제품,2,6.23,6.36,,1604
가정용품,2,,,,1594
판매업체,2,-13.77,-9.09,,1404
컴퓨터와주변기기,2,,,,914
문구류,1,,,,314
