Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
000100,유한양행,제약,86600,2.56,-7.08,36.25,8.81,68975,◎ 극과매도(RSI 3)
175330,JB금융지주,은행,26050,9.02,-3.87,7.06,12.36,49040,◎ 극과매도(RSI 9)
012750,에스원,상업서비스와공급품,72900,9.44,-15.82,15.51,10.45,27701,◎ 극과매도(RSI 9)
128940,한미약품,제약,436000,14.06,-9.73,32.94,14.53,55856,◎ 극과매도(RSI 14)
026960,동서,식품,25350,15.15,-4.52,17.45,8.48,25274,◎ 극과매도(RSI 15)
081660,미스토홀딩스,"섬유,의류,신발,호화품",38100,15.75,-7.97,10.18,11.39,20228,◎ 극과매도(RSI 16)
207940,삼성바이오로직스,제약,1472000,16.97,-0.07,55.4,19.44,681403,◎ 극과매도(RSI 17)
251270,넷마블,게임엔터테인먼트,43000,18.21,-16.18,16.42,4.15,35243,◎ 극과매도(RSI 18)
032640,LG유플러스,무선통신서비스,15050,19.59,-6.23,12.46,6.01,64689,◎ 극과매도(RSI 20)
138930,BNK금융지주,은행,17900,20.38,-5.09,6.96,7.58,55549,○ 과매도(RSI 20)
