Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.89,96.89,2855,2282,0.018,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.99,36.85,7610,1370,0.048,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.13,31.51,3320,1662,0.062,◎ 매우 저평가
002990,금호건설,건설,2.92,26.79,5000,1863,0.096,◎ 매우 저평가
136490,선진,식품,2.21,23.5,11050,2628,0.103,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.83,23.71,56400,2184,0.11,◎ 매우 저평가
036580,팜스코,식품,3.09,23.16,3445,1265,0.138,◎ 매우 저평가
000540,흥국화재,손해보험,1.81,18.85,4225,2714,0.14,◎ 매우 저평가
001450,현대해상,손해보험,2.72,20.6,31050,26470,0.147,◎ 매우 저평가
