Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,18825017,322000,30124249,26.03,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,15786357,2215000,5878039,21.4,44.15,,◎ 대장주(#2)
402340,SK스퀘어,복합기업,1674552,1269000,848972,10.78,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1632825,203500,5316432,16.45,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1471466,1970000,1650596,186.08,7.7,,○ 우량주(#5)
005380,현대차,자동차,1308402,639000,1610713,19.7,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,786000,393000,492974,34.13,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,695699,429000,644486,28.77,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,642363,612000,339664,30.24,18.82,,△ 중대형(#9)
000270,기아,자동차,641449,164300,2331570,9.24,12.92,,△ 중대형(#10)
