Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.52,36.85,6860,1235,0.04,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.56,31.51,2360,1181,0.06,◎ 매우 저평가
002990,금호건설,건설,1.86,26.79,3675,1369,0.083,◎ 매우 저평가
016880,웅진,출판,3.22,96.89,1911,1527,0.087,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.2,23.71,43150,1671,0.112,◎ 매우 저평가
136490,선진,식품,1.97,23.5,9320,2216,0.116,◎ 매우 저평가
002380,KCC,건축자재,2.59,23.51,498000,42793,0.138,◎ 매우 저평가
000540,흥국화재,손해보험,1.56,18.85,3630,2332,0.158,○ 저평가
015760,한국전력,전기유틸리티,2.66,19.4,36100,231749,0.196,○ 저평가
001450,현대해상,손해보험,3.23,20.6,36900,31457,0.207,○ 저평가
