섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,19.24,11.03,,36628457
복합기업,18,50.01,5.35,,3075565
자동차,10,10.05,9.16,14.44,2115900
전자장비와기기,21,40.94,2.71,,2020066
은행,11,11.77,7.87,,2013528
조선,14,-4.33,22.5,,1852499
전기제품,12,1.34,-11.78,,1515591
제약,62,2.66,4.38,,1393044
전기장비,14,57.16,16.91,,1380115
우주항공과국방,8,44.68,18.71,,1179284
증권,33,8.6,8.33,,1066304
자동차부품,73,5.05,5.56,9.39,931074
화학,72,-65.01,5.75,8.97,890291
생명보험,4,21.84,5.94,,874004
기계,22,17.17,3.11,18.27,854543
석유와가스,11,8.76,-0.77,,818279
IT서비스,14,41.52,7.52,,610811
양방향미디어와서비스,3,22.83,5.08,,578829
손해보험,11,7.82,12.67,,502902
건설,39,13.76,6.92,,445201
전자제품,4,-19.48,4.36,,419732
철강,36,5.03,0.21,12.05,417453
화장품,19,10.81,15.5,,360320
식품,52,2.0,1.16,,336941
비철금속,26,6.34,3.38,8.91,316579
전기유틸리티,4,67.06,11.65,,303065
무선통신서비스,3,37.7,4.67,,295945
백화점과일반상점,12,25.74,1.63,,243085
게임엔터테인먼트,5,11.12,11.92,,237831
해운사,8,14.76,7.94,,222126
항공사,8,5.98,-83.43,,193454
담배,1,18.15,11.77,,191323
"섬유,의류,신발,호화품",47,17.18,5.19,11.27,190697
항공화물운송과물류,10,-3.37,6.89,,176916
기타,25,,,,156587
다각화된통신서비스,1,8.79,10.22,,135588
에너지장비및서비스,9,-2.21,6.17,,132769
무역회사와판매업체,6,8.76,97.89,,126800
방송과엔터테인먼트,8,52.02,-12.33,,105863
부동산,30,29.67,1.4,16.73,91353
가정용기기와용품,5,9.77,11.76,,89971
건축자재,31,2.1,3.84,,88422
"호텔,레스토랑,레저",10,11.63,5.36,,87356
가스유틸리티,11,5.63,7.33,,74604
디스플레이패널,2,-85.71,3.44,,70360
운송인프라,3,5.01,10.46,,66535
카드,1,8.13,7.45,,52542
상업서비스와공급품,9,13.4,9.04,,42692
통신장비,3,54.3,8.28,,41723
소프트웨어,2,23.47,10.78,,36223
광고,3,8.38,10.32,,30223
음료,9,3.28,3.71,,26247
포장재,16,-30.57,2.12,,23832
도로와철도운송,5,-4.58,-7.55,,20906
건강관리장비와용품,5,12.71,-4.92,,18954
핸드셋,3,-12.62,4.47,,15404
가구,7,18.72,4.35,,14370
인터넷과카탈로그소매,1,8.83,4.36,,9420
디스플레이장비및부품,3,16.35,7.49,,8468
복합유틸리티,1,2.44,14.84,9.07,7862
종이와목재,10,61.4,-4.97,,7168
사무용전자제품,1,15.77,1.88,,4032
창업투자,1,19.78,5.99,,2768
교육서비스,4,-2.95,-12.33,12.69,2580
건축제품,4,-3.97,-11.82,,2238
출판,2,3.22,96.89,,2179
전문소매,2,-17.52,-0.26,,1898
건강관리업체및서비스,1,4.03,11.08,,1718
식품과기본식료품소매,2,2.99,11.89,,1690
레저용장비와제품,2,4.57,6.36,,1542
생물공학,2,-1.81,-81.98,,1341
가정용품,2,,,,1233
판매업체,2,,,,1024
컴퓨터와주변기기,2,,,,711
문구류,1,,,,247
