Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.73,260.94,75700,2870,0.007,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.63,31.51,2455,1229,0.054,◎ 매우 저평가
016880,웅진,출판,3.63,96.89,2150,1718,0.087,◎ 매우 저평가
002380,KCC,건축자재,2.46,23.51,474500,40773,0.125,◎ 매우 저평가
136490,선진,식품,2.82,23.5,10140,2411,0.138,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.34,19.4,31800,204145,0.17,○ 저평가
003650,미창석유,화학,2.06,15.44,145600,2533,0.225,○ 저평가
096760,JW홀딩스,제약,4.36,23.57,4070,3009,0.239,○ 저평가
023590,다우기술,증권,2.84,15.95,38850,16817,0.254,○ 저평가
071320,지역난방공사,복합유틸리티,2.39,14.84,72900,8441,0.261,○ 저평가
