섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,16.93,14.27,,31341576
은행,11,11.59,7.87,,2211682
자동차,10,8.29,9.16,15.5,1605245
조선,14,1.32,22.5,,1541137
제약,62,2.15,4.53,,1445695
전자장비와기기,20,28.43,0.59,,1257789
전기제품,11,5.31,-9.42,,1220189
복합기업,17,42.19,2.65,,1159981
전기장비,14,50.8,16.91,,1107499
우주항공과국방,8,41.23,18.71,,1098939
증권,33,8.15,8.4,,984913
석유와가스,12,7.88,-0.77,,856506
자동차부품,73,5.22,5.66,,802147
화학,72,-49.74,5.75,9.13,741756
생명보험,4,15.1,5.94,,724379
기계,22,14.12,3.12,20.39,684216
손해보험,11,10.46,12.67,,506869
양방향미디어와서비스,3,19.79,5.08,,450281
IT서비스,14,31.63,7.52,,442428
건설,39,13.51,6.81,,387991
화장품,19,11.28,15.5,,368095
철강,36,3.69,0.72,15.82,352088
식품,52,2.28,1.25,,337874
전자제품,4,-22.82,4.36,,315018
전기유틸리티,4,56.22,11.65,,280486
비철금속,26,6.48,3.38,,270216
무선통신서비스,3,30.98,4.67,,246202
백화점과일반상점,12,23.71,1.63,,228935
해운사,8,13.69,7.94,,226485
게임엔터테인먼트,5,10.45,11.92,,225846
항공사,8,7.13,-83.43,,208803
"섬유,의류,신발,호화품",45,15.23,5.45,10.08,183391
담배,1,17.16,11.77,,180942
항공화물운송과물류,10,-2.23,7.48,,167379
에너지장비및서비스,10,-3.47,2.08,,154291
기타,25,,,,139773
다각화된통신서비스,1,8.61,10.22,,132815
무역회사와판매업체,7,12.7,84.01,,127272
방송과엔터테인먼트,8,53.12,-2.5,,107185
부동산,28,32.02,1.34,16.38,94888
가정용기기와용품,5,9.77,11.76,,88787
건축자재,31,0.99,3.39,,83814
"호텔,레스토랑,레저",10,10.33,5.36,,80003
가스유틸리티,11,5.55,7.33,,73593
운송인프라,3,5.73,10.46,,63773
카드,1,8.96,7.45,,55381
디스플레이패널,2,-63.56,3.44,,52310
상업서비스와공급품,9,13.3,9.04,,42370
소프트웨어,2,23.02,10.78,,36110
광고,3,7.79,10.32,9.06,29934
통신장비,3,35.82,8.28,,27895
음료,9,2.45,3.71,,25492
포장재,16,-10.73,2.28,,23487
도로와철도운송,5,-3.84,-7.55,,21213
건강관리장비와용품,5,12.52,-4.92,,17571
가구,7,18.18,4.35,,15202
핸드셋,3,-11.35,4.47,,12548
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.4,14.84,9.23,7723
디스플레이장비및부품,3,12.68,7.49,,7009
종이와목재,10,90.38,-4.28,8.76,6742
사무용전자제품,1,15.81,1.88,,4042
창업투자,1,14.21,5.99,,3063
교육서비스,4,-2.49,-12.33,11.32,2301
건축제품,4,-3.66,-11.82,,2157
출판,2,3.26,96.89,,2151
건강관리업체및서비스,1,4.72,11.08,,2012
식품과기본식료품소매,2,2.92,11.89,,1613
레저용장비와제품,2,4.06,6.36,,1445
전문소매,1,-15.93,-0.26,,1440
가정용품,2,,,,1177
생물공학,2,,,,989
판매업체,2,,,,856
컴퓨터와주변기기,2,,,,583
문구류,1,,,,386
