Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14878779,254500,31882652,20.57,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13149359,1845000,8040043,17.82,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1532037,1161000,1103883,9.86,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1419395,176900,4409979,14.3,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,962802,1289000,1321694,121.75,7.7,,○ 우량주(#5)
005380,현대차,자동차,909124,444000,874265,13.69,8.41,,○ 우량주(#6)
105560,KB금융,은행,660429,186200,2401881,11.77,9.98,,○ 우량주(#7)
032830,삼성생명,생명보험,652000,326000,415904,22.71,4.96,,△ 중대형(#8)
207940,삼성바이오로직스,제약,648073,1400000,45614,45.49,19.44,,△ 중대형(#9)
028260,삼성물산,복합기업,585425,361000,572948,24.21,6.02,,△ 중대형(#10)
