Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.28,36.85,5770,1039,0.039,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.66,31.51,2500,1251,0.064,◎ 매우 저평가
016880,웅진,출판,3.26,96.89,1935,1547,0.085,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.14,23.71,42000,1626,0.11,◎ 매우 저평가
136490,선진,식품,2.07,23.5,9810,2333,0.117,◎ 매우 저평가
002380,KCC,건축자재,2.25,23.51,434000,37293,0.12,◎ 매우 저평가
036580,팜스코,식품,3.29,23.16,2810,1032,0.184,○ 저평가
015760,한국전력,전기유틸리티,2.52,19.4,34250,219873,0.194,○ 저평가
001450,현대해상,손해보험,3.27,20.6,38550,32863,0.208,○ 저평가
096760,JW홀딩스,제약,4.06,23.57,3790,2802,0.242,○ 저평가
