Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
009155,삼성전기우,전자장비와기기,470000,12.36,-28.79,44.39,,13663,◎ 극과매도(RSI 12)
011070,LG이노텍,전자장비와기기,661000,14.44,-22.69,32.27,6.14,156440,◎ 극과매도(RSI 14)
069960,현대백화점,백화점과일반상점,157900,20.49,-10.54,17.18,4.64,34051,○ 과매도(RSI 20)
307950,현대오토에버,IT서비스,438000,22.28,-11.43,66.43,10.27,120117,○ 과매도(RSI 22)
007810,코리아써키트,전자장비와기기,69800,25.84,-7.06,26.83,11.54,16740,△ 약과매도(RSI 26)
000990,DB하이텍,반도체와반도체장비,110700,25.95,-1.95,16.41,12.52,48160,△ 약과매도(RSI 26)
329180,HD현대중공업,조선,487500,26.57,-16.38,24.09,18.82,511686,△ 약과매도(RSI 27)
009150,삼성전기,전자장비와기기,1289000,27.05,-29.49,121.75,7.7,962802,△ 약과매도(RSI 27)
032830,삼성생명,생명보험,326000,27.29,-17.15,22.71,4.96,652000,△ 약과매도(RSI 27)
402340,SK스퀘어,반도체와반도체장비,1161000,27.8,-22.34,9.86,37.82,1532037,△ 약과매도(RSI 28)
