Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.4,36.85,6320,1138,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.83,31.51,2770,1386,0.058,◎ 매우 저평가
016880,웅진,출판,3.43,96.89,2035,1627,0.083,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",1.94,23.71,38150,1477,0.094,◎ 매우 저평가
002380,KCC,건축자재,2.29,23.51,441000,37895,0.112,◎ 매우 저평가
136490,선진,식품,2.27,23.5,10760,2559,0.112,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.63,19.4,35700,229181,0.183,○ 저평가
001450,현대해상,손해보험,3.48,20.6,41000,34952,0.209,○ 저평가
002990,금호건설,건설,4.48,26.79,8840,3294,0.234,○ 저평가
096760,JW홀딩스,제약,4.22,23.57,3945,2916,0.234,○ 저평가
