Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
011780,금호석유화학,화학,125100,122640.0,118860.0,3.3,10.71,31472,◎ 강한신호(거래량 3.3배)
011170,롯데케미칼,화학,58500,58720.0,58605.0,3.1,5.98,25024,◎ 강한신호(거래량 3.1배)
062040,산일전기,전기장비,183800,164520.0,160290.0,2.87,26.24,56322,○ 양호(거래량 2.9배)
010130,고려아연,비철금속,1235000,1142800.0,1033600.0,2.59,21.08,257781,○ 양호(거래량 2.6배)
066970,엘앤에프,전기제품,101000,85660.0,82950.0,2.5,38.93,41090,○ 양호(거래량 2.5배)
007070,GS리테일,백화점과일반상점,28400,26610.0,25640.0,1.87,16.39,23745,△ 보통(거래량 1.9배)
009830,한화솔루션,에너지장비및서비스,35250,31300.0,28202.5,1.7,42.14,60592,△ 보통(거래량 1.7배)
003670,포스코퓨처엠,화학,165500,151560.0,143360.0,1.66,20.98,147206,△ 보통(거래량 1.7배)
001450,현대해상,손해보험,41000,38490.0,38147.5,1.65,9.92,34952,△ 보통(거래량 1.6배)
329180,HD현대중공업,조선,532000,507400.0,478225.0,1.56,13.07,558394,△ 보통(거래량 1.6배)
