섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.28,11.03,,40134612
복합기업,18,59.22,5.35,,3376709
자동차,10,18.08,9.16,13.84,2339079
조선,14,-4.65,22.5,,2035671
은행,11,11.45,7.87,,2001644
전자장비와기기,21,40.12,2.71,,1955777
전기제품,12,-1.86,-11.78,,1712294
제약,62,3.29,4.38,,1490913
전기장비,14,62.8,16.91,,1475293
우주항공과국방,8,48.82,18.71,,1271233
증권,33,8.88,8.33,,1109622
자동차부품,73,5.12,5.56,,1093520
생명보험,4,21.01,5.94,,1037123
화학,72,-71.76,5.75,9.03,946005
기계,22,15.2,3.04,18.31,942074
석유와가스,11,8.94,-0.77,,886459
IT서비스,14,50.58,7.52,,761606
전자제품,4,-12.98,4.36,,660921
양방향미디어와서비스,3,24.66,5.08,,629212
손해보험,11,7.72,12.67,,493704
건설,39,15.03,4.02,,475700
철강,36,7.6,-0.0,10.74,454936
화장품,19,11.22,15.5,,357027
비철금속,26,6.26,3.38,8.72,345871
식품,52,1.65,1.03,,342368
무선통신서비스,3,43.22,4.67,,337941
전기유틸리티,4,71.38,11.65,,317950
게임엔터테인먼트,5,11.86,11.92,,258533
해운사,8,14.65,7.94,,226005
백화점과일반상점,12,25.25,1.63,,222156
항공사,8,5.88,-83.43,,195833
항공화물운송과물류,10,-3.31,6.89,,195471
"섬유,의류,신발,호화품",47,18.42,4.81,11.77,193381
담배,1,18.18,11.77,,191634
기타,25,,,,171021
에너지장비및서비스,9,-2.48,6.17,,148995
다각화된통신서비스,1,8.8,10.22,,135840
무역회사와판매업체,6,9.1,97.89,,133569
방송과엔터테인먼트,8,57.83,-12.33,,109796
건축자재,31,-20.81,3.53,,95513
부동산,30,43.83,1.31,16.67,94046
가정용기기와용품,5,10.03,11.76,,91562
"호텔,레스토랑,레저",10,11.15,5.36,,86081
디스플레이패널,2,-102.39,3.44,,83960
가스유틸리티,11,5.78,7.33,,76065
운송인프라,3,5.63,10.46,,67020
카드,1,8.39,7.45,,54164
상업서비스와공급품,9,13.56,9.04,,43790
통신장비,3,55.78,8.28,,43247
소프트웨어,2,23.54,10.78,,36239
광고,3,8.41,10.32,,30474
음료,9,3.34,3.71,,26965
포장재,16,-32.76,2.12,,24461
도로와철도운송,5,-5.57,-7.55,,21358
건강관리장비와용품,5,12.73,-4.92,,19658
핸드셋,3,-12.61,4.47,,16309
가구,7,19.28,4.35,,14617
디스플레이장비및부품,3,18.01,7.49,,9319
인터넷과카탈로그소매,1,8.68,4.36,,9264
복합유틸리티,1,2.43,14.84,9.12,7816
종이와목재,10,85.6,-4.28,,7337
사무용전자제품,1,15.85,1.88,,4051
창업투자,1,20.86,5.99,,2919
교육서비스,4,-2.94,-12.33,12.08,2654
출판,2,3.43,96.89,,2420
건축제품,4,-4.18,-11.82,,2326
전문소매,2,-17.21,-0.26,,1922
식품과기본식료품소매,2,3.09,11.89,,1749
건강관리업체및서비스,1,4.08,11.08,,1741
레저용장비와제품,2,4.6,6.36,,1584
생물공학,2,-2.01,-81.98,,1548
가정용품,2,,,,1275
판매업체,2,,,,1082
컴퓨터와주변기기,2,,,,724
문구류,1,,,,250
