Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
085620,미래에셋생명,생명보험,17200,15304.0,15207.5,8.62,11.62,23251,◎ 강한신호(거래량 8.6배)
035420,NAVER,양방향미디어와서비스,280500,237960.0,212745.0,4.53,40.25,440031,◎ 강한신호(거래량 4.5배)
454910,두산로보틱스,기계,166700,123000.0,110230.0,3.93,55.94,108055,◎ 강한신호(거래량 3.9배)
181710,NHN,IT서비스,53300,48560.0,41155.0,2.9,40.08,17457,○ 양호(거래량 2.9배)
373220,LG에너지솔루션,전기제품,442500,436200.0,434300.0,2.62,10.76,1035450,○ 양호(거래량 2.6배)
128940,한미약품,제약,507000,502300.0,457425.0,2.54,8.1,64952,○ 양호(거래량 2.5배)
022100,포스코DX,IT서비스,35300,33680.0,33595.0,2.14,8.78,53668,○ 양호(거래량 2.1배)
032640,LG유플러스,무선통신서비스,16150,15782.0,15670.0,2.09,4.13,68545,○ 양호(거래량 2.1배)
000150,두산,복합기업,1918000,1893600.0,1722750.0,1.78,7.69,310598,△ 보통(거래량 1.8배)
000240,한국앤컴퍼니,자동차부품,24900,24300.0,24285.0,1.68,2.05,23639,△ 보통(거래량 1.7배)
