Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
018260,삼성에스디에스,IT서비스,300500,49.13,80.81,1.98,69.0,36.31,51.11,232520,◎ 강세
085620,미래에셋생명,생명보험,17200,11.62,7.97,8.62,69.1,26.06,20.24,23251,◎ 강세
003550,LG,복합기업,140000,14.1,41.27,1.51,59.7,44.67,15.61,215910,◎ 강세
022100,포스코DX,IT서비스,35300,8.78,1.15,2.14,51.3,155.51,10.92,53668,○ 양호
128940,한미약품,제약,507000,8.1,10.22,2.54,59.6,37.67,10.64,64952,○ 양호
004170,신세계,백화점과일반상점,569000,8.38,39.8,1.57,67.9,71.64,9.95,53743,○ 양호
000150,두산,복합기업,1918000,7.69,20.18,1.78,58.0,447.5,9.47,310598,○ 양호
251270,넷마블,게임엔터테인먼트,44900,6.9,-9.57,1.63,61.5,10.68,8.53,36789,○ 양호
462870,시프트업,게임엔터테인먼트,30450,4.82,-6.45,1.67,51.7,9.33,6.49,17860,△ 보통
032640,LG유플러스,무선통신서비스,16150,4.13,1.96,2.09,53.8,13.05,6.21,68545,△ 보통
