Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
012750,에스원,상업서비스와공급품,73400,8.33,-15.14,15.62,10.45,27891,◎ 극과매도(RSI 8)
030200,KT,다각화된통신서비스,58500,13.92,-4.26,8.52,10.22,147433,◎ 극과매도(RSI 14)
175330,JB금융지주,은행,26550,16.53,-3.45,7.2,12.36,49981,◎ 극과매도(RSI 17)
026960,동서,식품,25100,17.65,-5.28,17.27,8.48,25025,◎ 극과매도(RSI 18)
032640,LG유플러스,무선통신서비스,15400,19.65,-6.27,12.75,6.01,66194,◎ 극과매도(RSI 20)
316140,우리금융지주,은행,32600,26.0,-1.81,7.72,8.91,239309,△ 약과매도(RSI 26)
081660,미스토홀딩스,"섬유,의류,신발,호화품",39000,27.08,-5.34,10.42,11.39,20706,△ 약과매도(RSI 27)
128940,한미약품,제약,434500,27.15,-12.13,32.83,14.53,55664,△ 약과매도(RSI 27)
029780,삼성카드,카드,51600,28.57,-2.64,9.26,7.45,59783,△ 약과매도(RSI 29)
000100,유한양행,제약,87800,29.58,-6.7,36.75,8.81,69931,△ 약과매도(RSI 30)
