Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.88,96.89,2840,2270,0.015,◎ 매우 저평가
019180,티에이치엔,자동차부품,1.96,36.85,7480,1346,0.048,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.16,31.51,3365,1684,0.063,◎ 매우 저평가
002990,금호건설,건설,3.13,26.79,5360,1983,0.096,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.54,23.71,50600,1959,0.1,◎ 매우 저평가
136490,선진,식품,2.25,23.5,11260,2678,0.103,◎ 매우 저평가
036580,팜스코,식품,3.17,23.16,3530,1296,0.142,◎ 매우 저평가
000540,흥국화재,손해보험,1.94,18.85,4525,2907,0.144,◎ 매우 저평가
001450,현대해상,손해보험,2.7,20.6,30800,26256,0.148,◎ 매우 저평가
