Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
134380,미원화학,화학,35.1,4500.0,11.41,14.72,12820,2819,◎ 초고배당(35.1%)
015360,INVENI,가스유틸리티,33.38,5400.0,5.52,15.46,16180,4409,◎ 초고배당(33.4%)
348950,제이알글로벌리츠,부동산,26.23,310.0,14.41,1.35,1182,2333,◎ 초고배당(26.2%)
432320,KB스타리츠,부동산,15.3,312.0,-2.84,-30.49,2040,2069,◎ 초고배당(15.3%)
017800,현대엘리베이터,기계,14.44,14010.0,14.47,20.11,97000,37920,◎ 초고배당(14.4%)
058430,포스코스틸리온,비철금속,13.95,1085.0,27.39,4.45,7780,4668,◎ 초고배당(13.9%)
381970,케이카,자동차,11.8,1200.0,9.69,22.63,10170,4965,◎ 초고배당(11.8%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.04,500.0,-5.48,-6.86,4530,1812,◎ 초고배당(11.0%)
400760,NH올원리츠,부동산,9.85,316.0,114.64,0.72,3210,1763,◎ 초고배당(9.8%)
334890,이지스밸류플러스리츠,부동산,8.47,340.0,10.85,3.15,4015,2788,◎ 초고배당(8.5%)
