Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
006800,미래에셋증권,증권,83800,21.98,32.59,6.93,66.8,38.9,28.91,468917,◎ 강세
071050,한국금융지주,증권,291500,11.9,35.58,2.93,69.3,8.89,14.83,162441,◎ 강세
005940,NH투자증권,증권,38450,9.08,26.27,3.12,68.0,13.31,12.19,137014,◎ 강세
039490,키움증권,증권,484500,6.95,15.22,3.73,51.1,11.96,10.68,127076,○ 양호
088350,한화생명,생명보험,5250,6.82,16.41,3.32,67.5,7.11,10.14,45598,○ 양호
023590,다우기술,증권,50100,4.48,13.86,3.67,54.5,4.45,8.15,21687,○ 양호
010130,고려아연,비철금속,1747000,6.39,17.96,1.65,62.4,45.36,8.04,364651,○ 양호
120110,코오롱인더,화학,95600,6.22,15.18,1.67,57.2,75.63,7.9,28628,△ 보통
001720,신영증권,증권,212500,3.91,14.8,2.83,57.0,24.62,6.74,34935,△ 보통
005380,현대차,자동차,550000,4.96,17.27,1.67,64.9,15.57,6.63,1126168,△ 보통
