Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15551101,266000,53097996,40.52,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11410365,1601000,6631934,27.16,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1518889,189300,11334882,28.84,,,◎ 대장주(#3)
402340,SK스퀘어,복합기업,1437027,1089000,1671250,16.38,37.82,,○ 우량주(#4)
005380,현대차,자동차,1126168,550000,1690524,15.57,8.41,,○ 우량주(#5)
034020,두산에너빌리티,기계,813513,127000,3905996,962.12,1.11,,○ 우량주(#6)
012450,한화에어로스페이스,우주항공과국방,738904,1433000,171436,50.15,19.14,,○ 우량주(#7)
207940,삼성바이오로직스,제약,685106,1480000,102714,55.7,19.44,,△ 중대형(#8)
009150,삼성전기,전자장비와기기,681207,912000,1216412,100.23,7.7,,△ 중대형(#9)
329180,HD현대중공업,조선,680149,648000,649003,41.27,18.82,,△ 중대형(#10)
