Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
013520,화승코퍼레이션,자동차부품,1.71,31.51,2530,1266,0.064,◎ 매우 저평가
016880,웅진,출판,3.26,96.89,2065,1650,0.1,◎ 매우 저평가
002380,KCC,건축자재,2.36,23.51,454000,39012,0.132,◎ 매우 저평가
136490,선진,식품,2.96,23.5,10640,2530,0.167,○ 저평가
096760,JW홀딩스,제약,3.51,23.57,4010,2964,0.192,○ 저평가
015760,한국전력,전기유틸리티,2.68,19.4,32700,209922,0.208,○ 저평가
402340,SK스퀘어,반도체와반도체장비,4.27,37.82,1060000,1398394,0.217,○ 저평가
023590,다우기술,증권,2.28,15.95,38450,16644,0.246,○ 저평가
003650,미창석유,화학,2.14,15.44,151500,2636,0.249,○ 저평가
013700,까뮤이앤씨,건설,3.66,19.4,1760,1052,0.262,○ 저평가
