Code,종목명,섹터,DIV,DPS,PER,ROE,종가,시총_억,평가
348950,제이알글로벌리츠,부동산,26.23,310.0,14.41,1.35,1182,2333,◎ 초고배당(26.2%)
432320,KB스타리츠,부동산,16.68,312.0,-9.8,-30.49,1871,2821,◎ 초고배당(16.7%)
017800,현대엘리베이터,기계,14.52,14010.0,14.4,20.11,96500,37724,◎ 초고배당(14.5%)
381970,케이카,자동차,11.75,1200.0,9.72,22.63,10210,4985,◎ 초고배당(11.8%)
016450,한세예스24홀딩스,"섬유,의류,신발,호화품",11.25,500.0,-5.37,-6.86,4445,1778,◎ 초고배당(11.2%)
400760,NH올원리츠,부동산,10.32,316.0,109.46,0.72,3065,1684,◎ 초고배당(10.3%)
334890,이지스밸류플러스리츠,부동산,8.43,340.0,10.91,3.15,4035,2802,◎ 초고배당(8.4%)
071320,지역난방공사,복합유틸리티,8.35,6157.0,2.52,14.84,73700,8534,◎ 초고배당(8.3%)
000480,CR홀딩스,비철금속,8.32,410.0,-8.42,-4.69,4925,2309,◎ 초고배당(8.3%)
377190,디앤디플랫폼리츠,부동산,8.2,246.0,34.48,0.75,3000,2652,◎ 초고배당(8.2%)
