Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
298000,효성화학,화학,0.38,260.94,38900,1475,0.007,◎ 매우 저평가
016880,웅진,출판,1.8,96.89,2725,2178,0.019,◎ 매우 저평가
019180,티에이치엔,자동차부품,2.05,36.85,7830,1409,0.044,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,2.07,31.51,3230,1617,0.059,◎ 매우 저평가
031820,아이티센씨티에스,IT서비스,2.19,25.89,9540,1155,0.078,◎ 매우 저평가
002990,금호건설,건설,2.77,26.79,4755,1772,0.093,◎ 매우 저평가
136490,선진,식품,2.08,23.5,10380,2468,0.104,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.82,23.71,56300,2180,0.119,◎ 매우 저평가
000540,흥국화재,손해보험,1.76,18.85,4090,2628,0.141,◎ 매우 저평가
036580,팜스코,식품,2.89,23.16,3225,1184,0.143,◎ 매우 저평가
