Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
000100,유한양행,제약,84600,2.22,-7.64,35.41,8.81,67382,◎ 극과매도(RSI 2)
128940,한미약품,제약,423500,9.59,-7.93,32.0,14.53,54255,◎ 극과매도(RSI 10)
175330,JB금융지주,은행,26100,9.84,-4.4,7.08,12.36,49134,◎ 극과매도(RSI 10)
012750,에스원,상업서비스와공급품,73700,10.97,-14.4,15.68,10.45,28005,◎ 극과매도(RSI 11)
026960,동서,식품,24650,11.39,-7.68,16.96,8.48,24576,◎ 극과매도(RSI 11)
032640,LG유플러스,무선통신서비스,15320,14.6,-3.28,12.68,6.01,65850,◎ 극과매도(RSI 15)
081660,미스토홀딩스,"섬유,의류,신발,호화품",37800,16.2,-6.9,10.1,11.39,20069,◎ 극과매도(RSI 16)
008930,한미사이언스,제약,35200,16.44,-6.63,20.34,13.13,24074,◎ 극과매도(RSI 16)
207940,삼성바이오로직스,제약,1458000,17.05,-0.82,54.87,19.44,674922,◎ 극과매도(RSI 17)
138930,BNK금융지주,은행,17640,17.8,-5.82,6.86,7.58,54742,◎ 극과매도(RSI 18)
