Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
069960,현대백화점,백화점과일반상점,157400,10.46,-6.09,17.12,4.64,33943,◎ 극과매도(RSI 10)
009155,삼성전기우,전자장비와기기,467500,21.68,-12.78,44.16,,13590,○ 과매도(RSI 22)
011070,LG이노텍,전자장비와기기,668000,23.22,-9.85,32.61,6.14,158096,○ 과매도(RSI 23)
028260,삼성물산,복합기업,346000,24.08,-8.59,23.2,6.02,561100,○ 과매도(RSI 24)
000990,DB하이텍,반도체와반도체장비,109600,25.18,-6.08,16.25,12.52,47681,△ 약과매도(RSI 25)
307950,현대오토에버,IT서비스,393000,25.95,-9.24,59.61,10.27,107776,△ 약과매도(RSI 26)
002380,KCC,건축자재,420000,26.2,-5.51,2.18,23.51,36090,△ 약과매도(RSI 26)
032830,삼성생명,생명보험,331000,26.67,1.53,23.06,4.96,662000,△ 약과매도(RSI 27)
034730,SK,석유와가스,580000,29.13,-4.92,16.12,6.35,420516,△ 약과매도(RSI 29)
023530,롯데쇼핑,백화점과일반상점,140800,29.4,-11.11,24.35,0.34,39831,△ 약과매도(RSI 29)
