Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,14908010,255000,27001478,20.61,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,13127978,1842000,5608812,17.79,44.15,,◎ 대장주(#2)
402340,SK스퀘어,반도체와반도체장비,1599336,1212000,757396,10.29,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1380078,172000,4486229,13.9,,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,953838,1277000,635308,120.62,7.7,,○ 우량주(#5)
005380,현대차,자동차,870221,425000,791287,13.1,8.41,,○ 우량주(#6)
032830,삼성생명,생명보험,662000,331000,361459,23.06,4.96,,○ 우량주(#7)
207940,삼성바이오로직스,제약,646222,1396000,29974,45.36,19.44,,△ 중대형(#8)
105560,KB금융,은행,642339,181100,1299467,11.45,9.98,,△ 중대형(#9)
000270,기아,자동차,584448,149700,967288,8.42,12.92,,△ 중대형(#10)
