섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.45,14.27,,31408528
은행,11,11.73,7.87,,2208350
자동차,10,8.27,9.16,15.91,1588684
조선,14,0.13,22.5,,1580775
제약,62,3.36,3.15,,1446848
전자장비와기기,20,29.08,0.59,,1261919
전기제품,11,4.67,-9.42,,1223679
복합기업,17,40.9,2.65,,1125412
전기장비,14,49.37,16.91,,1116596
우주항공과국방,8,41.37,18.71,,1099331
증권,33,8.18,8.4,,984504
석유와가스,12,7.97,-0.77,,883572
자동차부품,73,5.2,5.67,,799050
생명보험,4,15.26,5.94,,736057
화학,72,-47.74,5.75,9.26,734265
기계,22,13.56,3.12,20.33,663696
손해보험,11,11.09,12.67,,538552
양방향미디어와서비스,3,20.3,5.08,,458553
IT서비스,14,31.29,7.52,,435278
건설,39,12.53,7.33,,377354
화장품,19,12.09,15.5,,373885
철강,36,3.31,0.72,15.53,355504
식품,52,6.09,1.28,,329900
전자제품,4,-21.74,4.36,,304068
전기유틸리티,4,54.78,11.65,,277105
비철금속,26,6.45,3.38,,270467
무선통신서비스,3,32.2,4.67,,255066
해운사,8,13.35,7.94,,230824
백화점과일반상점,12,23.54,1.63,,223053
게임엔터테인먼트,5,10.14,11.92,,220851
항공사,8,6.19,-83.43,,199107
담배,1,17.72,11.77,,186755
"섬유,의류,신발,호화품",45,15.29,5.45,11.44,185315
항공화물운송과물류,10,-2.06,7.48,,167785
에너지장비및서비스,10,-2.57,2.08,,145880
기타,25,,,,143761
다각화된통신서비스,1,8.56,10.22,,132059
무역회사와판매업체,7,12.79,84.01,,127934
방송과엔터테인먼트,8,52.48,-2.5,8.52,105004
부동산,28,35.12,1.34,15.62,93760
가정용기기와용품,5,9.62,11.76,,92111
건축자재,31,1.19,3.39,,82368
가스유틸리티,11,5.6,7.33,,73900
"호텔,레스토랑,레저",10,9.13,5.36,,73495
운송인프라,3,6.03,10.46,,64922
카드,1,8.82,7.45,,54512
디스플레이패널,2,-63.87,3.44,,52560
상업서비스와공급품,9,13.4,9.04,,42794
광고,3,7.68,10.32,9.37,29680
통신장비,3,37.43,8.28,,28906
음료,9,2.25,3.71,,25171
포장재,16,-24.63,2.12,,23048
도로와철도운송,5,-9.79,-10.84,,22056
건강관리장비와용품,5,12.41,-4.92,,17657
가구,7,18.56,4.35,,15644
핸드셋,3,-11.39,4.47,,12660
인터넷과카탈로그소매,1,9.82,4.36,,10476
복합유틸리티,1,2.33,14.84,9.5,7503
디스플레이장비및부품,3,13.16,7.49,,7170
종이와목재,10,90.49,-4.28,8.73,6903
사무용전자제품,1,15.93,1.88,,4071
창업투자,1,15.16,5.99,,3268
교육서비스,4,-2.49,-12.33,13.07,2335
출판,2,3.53,96.89,,2295
건축제품,4,-3.8,-11.82,,2176
건강관리업체및서비스,1,4.4,11.08,,1878
식품과기본식료품소매,2,3.02,11.89,,1664
가정용품,2,39.45,1.78,,1480
전문소매,1,-16.21,-0.26,,1466
레저용장비와제품,2,4.02,6.36,,1431
소프트웨어,1,9.39,5.56,,1174
생물공학,2,,,,1010
판매업체,2,,,,980
문구류,1,,,,705
컴퓨터와주변기기,2,,,,624
