Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.43,36.85,6440,1159,0.036,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.76,31.51,2660,1331,0.061,◎ 매우 저평가
016880,웅진,출판,3.58,96.89,2120,1694,0.086,◎ 매우 저평가
136490,선진,식품,2.24,23.5,10640,2530,0.108,◎ 매우 저평가
002380,KCC,건축자재,2.37,23.51,456000,39184,0.111,◎ 매우 저평가
015760,한국전력,전기유틸리티,2.44,19.4,33100,212490,0.17,○ 저평가
001450,현대해상,손해보험,3.65,20.6,42950,36614,0.204,○ 저평가
096760,JW홀딩스,제약,4.31,23.57,4030,2979,0.233,○ 저평가
023590,다우기술,증권,2.87,15.95,39200,16969,0.251,○ 저평가
071320,지역난방공사,복합유틸리티,2.68,14.84,74600,8638,0.269,○ 저평가
