섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,16,18.04,14.27,,30659547
은행,11,11.15,7.87,,2118074
조선,14,-1.94,22.5,,1640118
제약,62,4.38,4.38,,1625674
자동차,10,8.23,9.16,15.56,1530297
전자장비와기기,20,32.08,0.59,,1411228
전기제품,11,4.72,-9.42,,1349353
우주항공과국방,8,45.53,18.71,,1262853
전기장비,14,52.47,16.91,,1219278
복합기업,17,42.81,2.65,,1187172
증권,33,8.54,8.4,8.41,934593
석유와가스,12,7.94,-0.77,,882649
자동차부품,73,4.52,5.56,,849662
화학,72,-54.15,5.75,9.0,789058
기계,22,15.52,3.62,19.49,751295
생명보험,4,15.74,5.94,,665719
양방향미디어와서비스,3,22.54,5.08,,534490
IT서비스,14,36.59,7.52,,513160
손해보험,11,10.3,12.67,,505652
건설,39,14.02,7.26,,446211
화장품,19,13.67,15.5,,412770
철강,36,5.41,0.72,13.34,378069
식품,52,2.34,1.25,,350174
전자제품,4,-51.01,4.36,,350103
비철금속,26,6.9,3.38,8.78,323684
전기유틸리티,4,59.72,11.65,,275303
무선통신서비스,3,32.64,4.67,,258331
해운사,8,15.12,7.94,,243146
게임엔터테인먼트,5,10.3,11.92,,223759
항공사,8,6.41,-83.43,,202114
에너지장비및서비스,10,-3.82,2.08,,187781
백화점과일반상점,12,20.64,1.63,,183808
담배,1,17.11,11.77,,180423
항공화물운송과물류,10,-1.66,7.48,,180257
"섬유,의류,신발,호화품",45,16.08,6.0,11.64,177567
기타,25,,,,145481
무역회사와판매업체,7,14.18,84.01,,137208
다각화된통신서비스,1,8.57,10.22,,132311
부동산,28,32.14,1.34,16.68,98391
가정용기기와용품,5,7.46,13.41,,93731
방송과엔터테인먼트,8,54.0,-2.5,,92981
건축자재,31,1.56,3.39,,86161
가스유틸리티,11,5.9,7.33,,78048
"호텔,레스토랑,레저",9,10.37,3.32,,73144
운송인프라,3,5.83,10.46,,61480
카드,1,8.8,7.45,,54338
디스플레이패널,2,-60.98,3.44,,50255
상업서비스와공급품,9,13.8,9.04,,45933
통신장비,3,44.41,8.28,,34314
광고,3,8.15,10.32,,30258
음료,9,2.64,3.71,,25500
포장재,16,-25.92,2.12,,24545
도로와철도운송,5,-3.41,-7.55,,24527
건강관리장비와용품,5,12.38,-4.92,,18171
가구,7,19.32,4.35,,15894
핸드셋,3,-13.63,4.47,,14165
복합유틸리티,1,2.68,14.84,,8638
디스플레이장비및부품,3,-104.4,-3.54,,7616
종이와목재,10,74.43,-4.03,,6934
사무용전자제품,1,15.94,1.88,,4076
창업투자,1,15.27,5.99,,3292
건강관리업체및서비스,1,6.11,11.08,,2607
건축제품,4,0.64,-1.76,,2341
출판,2,3.58,96.89,,2333
교육서비스,4,-2.57,-12.33,11.91,2259
식품과기본식료품소매,2,3.2,11.89,,1698
전문소매,1,-16.81,-0.26,,1520
레저용장비와제품,2,3.99,6.36,,1429
가정용품,2,,,,1259
소프트웨어,1,9.41,5.56,,1176
판매업체,2,-19.82,-9.09,,1118
생물공학,2,,,,1083
컴퓨터와주변기기,2,,,,587
문구류,1,,,,337
