Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,15668027,268000,35530867,21.66,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,11636743,1593000,4680347,15.39,44.15,,◎ 대장주(#2)
005935,삼성전자우,반도체와반도체장비,1506853,187800,5591044,15.18,,,◎ 대장주(#3)
402340,SK스퀘어,반도체와반도체장비,1473975,1117000,778168,9.49,37.82,,○ 우량주(#4)
009150,삼성전기,전자장비와기기,1122646,1503000,1157518,141.97,7.7,,○ 우량주(#5)
005380,현대차,자동차,856911,418500,590756,12.9,8.41,,○ 우량주(#6)
207940,삼성바이오로직스,제약,723990,1564000,55792,50.81,19.44,,○ 우량주(#7)
012450,한화에어로스페이스,우주항공과국방,611026,1185000,259007,37.22,19.14,,△ 중대형(#8)
105560,KB금융,은행,596230,168100,1281602,10.63,9.98,,△ 중대형(#9)
028260,삼성물산,복합기업,591912,365000,505842,24.48,6.02,,△ 중대형(#10)
