Code,종목명,섹터,종가,5일수익률(%),20일수익률(%),거래량배수,RSI14,PER,점수,시총_억,평가
103590,일진전기,전기장비,72400,22.92,13.66,1.97,58.3,24.55,24.89,34524,◎ 강세
085620,미래에셋생명,생명보험,19350,13.82,13.82,2.11,67.5,23.86,15.94,26157,◎ 강세
088350,한화생명,생명보험,5030,9.83,11.28,5.79,61.3,5.9,15.61,43687,◎ 강세
006800,미래에셋증권,증권,38050,10.13,-8.86,2.23,52.6,11.94,12.36,212915,◎ 강세
001430,세아베스틸지주,철강,43550,8.74,30.58,1.88,67.1,21.74,10.62,15618,○ 양호
078930,GS,석유와가스,107400,8.7,31.3,1.71,62.0,7.72,10.42,99770,○ 양호
011780,금호석유화학,화학,128900,5.92,9.8,1.72,54.8,14.37,7.63,32428,△ 보통
175330,JB금융지주,은행,29350,3.89,5.2,2.46,61.7,7.87,6.36,54744,△ 보통
005830,DB손해보험,손해보험,166600,4.26,2.52,1.51,48.9,7.35,5.76,109124,△ 보통
036460,한국가스공사,가스유틸리티,35900,3.31,10.8,2.05,56.8,10.55,5.36,33140,△ 보통
