Code,종목명,섹터,종가,MA5,MA20,거래량배수,5일수익률(%),시총_억,평가
088350,한화생명,생명보험,5030,4724.0,4472.75,5.79,9.83,43687,◎ 강한신호(거래량 5.8배)
161890,한국콜마,화장품,135200,117640.0,104620.0,3.43,26.47,31914,◎ 강한신호(거래량 3.4배)
139480,이마트,백화점과일반상점,78100,80400.0,80030.0,3.0,-4.05,21552,◎ 강한신호(거래량 3.0배)
006800,미래에셋증권,증권,38050,36070.0,35550.0,2.23,10.13,212915,○ 양호(거래량 2.2배)
085620,미래에셋생명,생명보험,19350,18208.0,16328.0,2.11,13.82,26157,○ 양호(거래량 2.1배)
047810,한국항공우주,우주항공과국방,151200,147820.0,142935.0,2.01,0.73,147382,○ 양호(거래량 2.0배)
033780,KT&G,담배,173800,181120.0,180180.0,2.01,-4.87,180423,○ 양호(거래량 2.0배)
011170,롯데케미칼,화학,57400,58580.0,58220.0,1.99,-2.21,24553,△ 보통(거래량 2.0배)
103590,일진전기,전기장비,72400,65520.0,59400.0,1.97,22.92,34524,△ 보통(거래량 2.0배)
030200,KT,다각화된통신서비스,52500,52740.0,52935.0,1.92,-1.87,132311,△ 보통(거래량 1.9배)
