Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
017960,한국카본,조선,34550,8.83,-2.4,18.79,19.3,17854,◎ 극과매도(RSI 9)
052690,한전기술,전기유틸리티,135700,15.34,0.15,154.56,14.2,51865,◎ 극과매도(RSI 15)
00680K,미래에셋증권2우B,기타,16270,15.39,-2.98,,,22209,◎ 극과매도(RSI 15)
439260,대한조선,조선,64200,15.84,-1.83,8.7,32.19,24453,◎ 극과매도(RSI 16)
000120,CJ대한통운,항공화물운송과물류,85500,16.88,-0.23,8.1,5.98,19505,◎ 극과매도(RSI 17)
017800,현대엘리베이터,기계,80400,17.27,-0.99,12.36,20.11,31430,◎ 극과매도(RSI 17)
071970,HD현대마린엔진,조선,73200,17.36,-0.81,13.84,41.36,24831,◎ 극과매도(RSI 17)
103590,일진전기,전기장비,95900,17.43,-4.2,39.11,19.08,45730,◎ 극과매도(RSI 17)
112610,씨에스윈드,에너지장비및서비스,48000,17.96,-3.03,-117.94,3.02,20242,◎ 극과매도(RSI 18)
267260,HD현대일렉트릭,전기장비,1047000,18.23,-1.78,47.98,41.5,377414,◎ 극과매도(RSI 18)
