Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.89,36.85,8500,1530,0.05,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.8,31.51,2720,1361,0.061,◎ 매우 저평가
002990,금호건설,건설,2.05,26.79,4045,1507,0.083,◎ 매우 저평가
016880,웅진,출판,3.69,96.89,2190,1750,0.108,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.19,23.71,42900,1661,0.108,◎ 매우 저평가
136490,선진,식품,2.09,23.5,9920,2359,0.115,◎ 매우 저평가
002380,KCC,건축자재,2.86,23.51,550000,47261,0.137,◎ 매우 저평가
000540,흥국화재,손해보험,1.56,18.85,3635,2335,0.147,◎ 매우 저평가
001450,현대해상,손해보험,3.04,20.6,34700,29581,0.191,○ 저평가
015760,한국전력,전기유틸리티,2.88,19.4,39050,250687,0.191,○ 저평가
