섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,18.39,11.03,,35769945
복합기업,18,52.67,5.35,,3021569
자동차,10,18.04,9.16,12.9,2205352
조선,14,-14.78,20.72,,2137356
은행,11,11.57,7.87,,1955090
전자장비와기기,21,42.16,2.71,,1948942
전기제품,12,1.34,-11.78,,1801262
전기장비,14,66.64,16.91,,1547934
제약,62,2.71,3.43,,1513196
우주항공과국방,8,46.63,15.63,,1408433
증권,33,9.17,8.33,,1131758
자동차부품,73,5.71,5.67,,1031718
화학,72,-79.6,5.75,8.67,989662
기계,22,21.4,3.04,17.42,944936
석유와가스,11,8.92,-0.77,,885531
생명보험,4,17.42,5.94,,789382
IT서비스,14,43.84,7.52,,620250
건설,39,15.9,4.02,,504476
양방향미디어와서비스,3,22.27,5.08,,500129
철강,36,7.18,0.21,10.2,482554
손해보험,11,7.75,12.67,,457411
전자제품,4,-21.64,4.36,,382137
화장품,19,11.51,15.5,,366521
비철금속,26,6.59,3.38,8.6,360468
식품,52,1.79,1.03,,353644
전기유틸리티,4,75.96,11.65,,330305
무선통신서비스,3,34.48,4.67,,272609
게임엔터테인먼트,5,11.13,11.92,,244813
해운사,8,9.74,8.06,,231239
백화점과일반상점,12,25.26,1.63,,214376
항공화물운송과물류,10,-3.45,6.89,,204922
항공사,8,5.44,-83.43,,200477
"섬유,의류,신발,호화품",47,18.06,5.19,11.72,200242
담배,1,18.09,11.77,,190700
기타,25,,,,175002
에너지장비및서비스,9,-2.1,6.17,,154669
무역회사와판매업체,6,9.99,97.89,,143682
다각화된통신서비스,1,8.47,10.22,,130799
방송과엔터테인먼트,8,53.02,-12.33,,113911
부동산,30,60.73,1.33,15.92,102084
건축자재,31,-23.06,3.53,,96936
가정용기기와용품,5,10.19,11.76,,90568
"호텔,레스토랑,레저",10,11.53,5.36,,88420
가스유틸리티,11,5.98,7.33,,80206
디스플레이패널,2,-88.47,3.44,,72610
운송인프라,3,6.31,10.46,,67835
카드,1,8.42,7.45,,54396
통신장비,3,55.83,8.28,,43585
상업서비스와공급품,9,6.45,9.04,,41747
소프트웨어,2,23.9,10.78,,39155
광고,3,8.35,10.32,,30356
음료,9,3.1,3.71,,27222
포장재,16,-36.08,2.12,,26721
도로와철도운송,5,-5.45,-7.55,,22095
건강관리장비와용품,5,12.82,-4.92,,20456
핸드셋,3,-13.35,4.47,,16735
가구,7,19.66,4.35,,14898
인터넷과카탈로그소매,1,9.06,4.36,,9660
디스플레이장비및부품,3,18.11,7.49,,9415
복합유틸리티,1,2.54,14.84,8.73,8163
종이와목재,10,63.87,-4.97,,7954
사무용전자제품,1,16.59,1.88,,4241
창업투자,1,22.3,5.99,,3121
교육서비스,4,-4.43,-10.34,10.51,2801
건축제품,4,-4.64,-11.82,,2516
출판,2,3.69,96.89,,2421
전문소매,2,-17.83,-0.26,,1993
식품과기본식료품소매,2,3.2,11.89,,1854
건강관리업체및서비스,1,4.12,11.08,,1757
생물공학,2,-2.21,-81.98,,1645
레저용장비와제품,2,4.28,6.36,,1531
가정용품,2,,,,1389
판매업체,2,-21.25,-9.09,,1196
컴퓨터와주변기기,2,,,,738
문구류,1,,,,274
