Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
103590,일진전기,전기장비,85900,14.47,-13.84,35.03,19.08,40962,◎ 극과매도(RSI 14)
017960,한국카본,조선,32400,16.2,-6.9,17.62,19.3,16743,◎ 극과매도(RSI 16)
001440,대한전선,전기장비,42350,17.58,-14.53,161.64,5.48,83003,◎ 극과매도(RSI 18)
000120,CJ대한통운,항공화물운송과물류,82600,18.93,-3.73,7.82,5.98,18843,◎ 극과매도(RSI 19)
00680K,미래에셋증권2우B,기타,15230,19.93,-10.31,,,20789,◎ 극과매도(RSI 20)
103140,풍산,비철금속,74000,21.23,-11.69,11.29,6.54,20738,○ 과매도(RSI 21)
112610,씨에스윈드,에너지장비및서비스,45050,21.57,-9.72,-110.69,3.02,18998,○ 과매도(RSI 22)
017800,현대엘리베이터,기계,77200,22.9,-4.93,11.86,20.11,30179,○ 과매도(RSI 23)
006800,미래에셋증권,증권,58300,23.74,-9.61,27.07,12.36,326227,○ 과매도(RSI 24)
383220,F&F,"섬유,의류,신발,호화품",71700,24.0,-3.63,5.35,23.16,27466,○ 과매도(RSI 24)
