Code,종목명,섹터,PER,ROE,종가,시총_억,점수,평가
019180,티에이치엔,자동차부품,1.67,36.85,7540,1357,0.047,◎ 매우 저평가
013520,화승코퍼레이션,자동차부품,1.57,31.51,2370,1186,0.058,◎ 매우 저평가
002990,금호건설,건설,1.97,26.79,3890,1449,0.083,◎ 매우 저평가
016880,웅진,출판,3.49,96.89,2070,1654,0.101,◎ 매우 저평가
136490,선진,식품,2.06,23.5,9770,2323,0.116,◎ 매우 저평가
031440,신세계푸드,"호텔,레스토랑,레저",2.36,23.71,46300,1793,0.116,◎ 매우 저평가
000540,흥국화재,손해보험,1.51,18.85,3505,2252,0.152,○ 저평가
002380,KCC,건축자재,3.01,23.51,579000,49753,0.159,○ 저평가
015760,한국전력,전기유틸리티,2.85,19.4,38700,248440,0.199,○ 저평가
001450,현대해상,손해보험,3.08,20.6,35100,29922,0.2,○ 저평가
