섹터,종목수,평균PER,평균ROE,평균DIV,시총합_억
반도체와반도체장비,14,19.89,11.03,,39108173
복합기업,18,56.86,5.35,,3449061
자동차,10,10.51,9.16,13.51,2252974
은행,11,11.8,7.87,,2069492
조선,14,-5.88,22.5,,2013218
전자장비와기기,21,39.57,2.71,,1862012
전기제품,12,-1.17,-11.78,,1671125
전기장비,14,61.35,16.91,,1462313
제약,62,3.45,4.44,,1453366
우주항공과국방,8,48.16,18.71,,1252824
증권,33,9.07,8.33,,1133270
자동차부품,73,4.84,5.56,9.5,1084709
화학,72,-72.19,5.75,9.03,956416
생명보험,4,20.98,5.94,,956384
기계,22,15.31,3.11,18.15,934724
석유와가스,11,9.1,-0.77,,897830
IT서비스,14,47.38,7.52,,703807
양방향미디어와서비스,3,24.07,5.08,,606374
전자제품,4,-17.55,4.36,,553262
손해보험,11,8.0,12.67,,534692
건설,39,15.13,4.02,,480849
철강,36,8.22,-0.0,11.2,457894
화장품,19,11.19,15.5,,363200
비철금속,26,6.25,3.38,8.71,344540
식품,52,2.03,1.16,,341263
전기유틸리티,4,72.18,11.65,,325036
무선통신서비스,3,38.24,4.67,,300892
게임엔터테인먼트,5,11.39,11.92,,248462
백화점과일반상점,12,26.86,1.63,,240489
해운사,8,15.13,7.94,,227863
항공사,8,6.25,-83.43,,198752
"섬유,의류,신발,호화품",47,18.05,4.81,11.77,193975
항공화물운송과물류,10,-3.55,6.89,,187689
담배,1,17.31,11.77,,182499
기타,25,,,,169908
에너지장비및서비스,9,-2.06,6.17,,148656
다각화된통신서비스,1,8.9,10.22,,137352
무역회사와판매업체,6,9.06,97.89,,134082
방송과엔터테인먼트,8,55.25,-12.33,,110130
건축자재,31,-20.13,3.53,,96827
부동산,30,33.59,1.31,16.64,92563
가정용기기와용품,5,7.28,13.41,,90521
"호텔,레스토랑,레저",10,11.55,5.36,,87786
디스플레이패널,2,-98.9,3.44,,81110
가스유틸리티,11,5.78,7.33,,76540
운송인프라,3,5.5,10.46,,67042
카드,1,8.26,7.45,,53353
통신장비,3,64.32,8.28,,48869
상업서비스와공급품,9,13.57,9.04,,43835
소프트웨어,2,23.55,10.78,,36243
광고,3,8.39,10.32,,30326
음료,9,3.59,3.71,,26958
포장재,16,-32.87,2.12,,24638
도로와철도운송,5,-5.46,-7.55,,21622
건강관리장비와용품,5,12.78,-4.92,,19472
핸드셋,3,-12.58,4.47,,16350
가구,7,18.84,4.35,,14439
인터넷과카탈로그소매,1,8.79,4.36,,9372
디스플레이장비및부품,3,17.54,7.49,,9073
복합유틸리티,1,2.44,14.84,9.1,7839
종이와목재,10,84.04,-4.28,,7233
사무용전자제품,1,15.49,1.88,,3959
창업투자,1,19.58,5.99,,2741
교육서비스,4,-2.93,-12.33,11.66,2606
건축제품,4,-4.24,-11.82,,2347
출판,2,3.49,96.89,,2325
전문소매,2,-17.47,-0.26,,1906
식품과기본식료품소매,2,3.08,11.89,,1741
건강관리업체및서비스,1,4.08,11.08,,1741
생물공학,2,-2.29,-81.98,,1682
레저용장비와제품,2,4.61,6.36,,1570
가정용품,2,,,,1286
판매업체,2,,,,1064
컴퓨터와주변기기,2,,,,724
문구류,1,,,,255
