Code,종목명,섹터,시총_억,종가,거래량,PER,ROE,DIV,평가
005930,삼성전자,반도체와반도체장비,20549669,351500,34771037,28.41,10.85,,◎ 대장주(#1)
000660,SK하이닉스,반도체와반도체장비,16377900,2298000,3941067,22.2,44.15,,◎ 대장주(#2)
402340,SK스퀘어,복합기업,1795954,1361000,858305,11.56,37.82,,◎ 대장주(#3)
005935,삼성전자우,반도체와반도체장비,1765217,220000,7588895,17.78,,,○ 우량주(#4)
005380,현대차,자동차,1433304,700000,1062671,21.58,8.41,,○ 우량주(#5)
009150,삼성전기,전자장비와기기,1281744,1716000,1435204,162.09,7.7,,○ 우량주(#6)
032830,삼성생명,생명보험,876000,438000,1025694,38.04,4.96,,○ 우량주(#7)
028260,삼성물산,복합기업,867597,535000,1331923,35.88,6.02,,△ 중대형(#8)
329180,HD현대중공업,조선,683298,651000,354983,32.17,18.82,,△ 중대형(#9)
012330,현대모비스,자동차부품,678680,748000,788548,19.53,7.68,,△ 중대형(#10)
