Code,종목명,섹터,종가,RSI14,5일수익률(%),PER,ROE,시총_억,평가
439260,대한조선,조선,73000,0.88,-14.02,9.99,32.19,28124,◎ 극과매도(RSI 1)
017960,한국카본,조선,40950,7.55,-13.97,20.89,19.3,21408,◎ 극과매도(RSI 8)
015760,한국전력,전기유틸리티,39650,15.46,-11.3,2.98,19.4,254539,◎ 극과매도(RSI 15)
175330,JB금융지주,은행,25650,17.65,-2.66,6.95,12.36,48287,◎ 극과매도(RSI 18)
000120,CJ대한통운,항공화물운송과물류,94800,19.05,-5.95,8.93,5.98,21626,◎ 극과매도(RSI 19)
097230,HJ중공업,건설,24700,21.62,-9.85,40.83,10.15,22303,○ 과매도(RSI 22)
112610,씨에스윈드,에너지장비및서비스,55300,22.13,-9.64,67.19,3.02,23321,○ 과매도(RSI 22)
085620,미래에셋생명,생명보험,14840,22.43,-6.08,22.48,5.22,20061,○ 과매도(RSI 22)
279570,케이뱅크,은행,5550,23.03,-7.5,18.5,5.4,22516,○ 과매도(RSI 23)
042660,한화오션,조선,120400,23.55,-7.31,29.61,22.59,368922,○ 과매도(RSI 24)
